date,balance
1990-01-02,1000.0
1990-01-03,1006.71
1990-01-04,1010.07
1990-01-05,1013.42
1990-01-08,1020.13
1990-01-09,1010.07
1990-01-10,966.45
1990-01-11,926.19
1990-01-12,926.19
1990-01-15,919.48
1990-01-16,936.26
1990-01-17,892.64
1990-01-18,869.16
1990-01-19,919.48
1990-01-22,892.64
1990-01-23,906.06
1990-01-24,912.77
1990-01-25,916.13
1990-01-26,879.22
1990-01-29,892.64
1990-01-30,912.77
1990-01-31,912.77
1990-02-01,902.71
1990-02-02,919.48
1990-02-05,939.61
1990-02-06,932.9
1990-02-07,892.64
1990-02-08,885.93
1990-02-09,919.48
1990-02-12,912.77
1990-02-13,926.19
1990-02-14,919.48
1990-02-15,919.48
1990-02-16,906.06
1990-02-20,899.35
1990-02-21,912.77
1990-02-22,885.93
1990-02-23,892.64
1990-02-26,912.77
1990-02-27,899.35
1990-02-28,912.77
1990-03-01,919.48
1990-03-02,906.06
1990-03-05,926.19
1990-03-06,946.32
1990-03-07,949.68
1990-03-08,986.58
1990-03-09,989.94
1990-03-12,983.23
1990-03-13,989.94
1990-03-14,993.29
1990-03-15,986.58
1990-03-16,1080.52
1990-03-19,1137.55
1990-03-20,1110.71
1990-03-21,1117.42
1990-03-22,1093.94
1990-03-23,1134.2
1990-03-26,1134.2
1990-03-27,1127.49
1990-03-28,1107.36
1990-03-29,1104.0
1990-03-30,1080.52
1990-04-02,1080.52
1990-04-03,1120.78
1990-04-04,1107.36
1990-04-05,1080.52
1990-04-06,1070.45
1990-04-09,1104.0
1990-04-10,1107.36
1990-04-11,1140.91
1990-04-12,1161.04
1990-04-16,1174.46
1990-04-17,1161.04
1990-04-18,1161.04
1990-04-19,1080.52
1990-04-20,1080.52
1990-04-23,1067.1
1990-04-24,1040.26
1990-04-25,1040.26
1990-04-26,1043.61
1990-04-27,1050.32
1990-04-30,1057.04
1990-05-01,1063.75
1990-05-02,1067.1
1990-05-03,1073.81
1990-05-04,1073.81
1990-05-07,1114.07
1990-05-08,1120.78
1990-05-09,1124.13
1990-05-10,1110.71
1990-05-11,1144.26
1990-05-14,1120.78
1990-05-15,1120.78
1990-05-16,1117.42
1990-05-17,1114.07
1990-05-18,1067.1
1990-05-21,1060.39
1990-05-22,1110.71
1990-05-23,1127.49
1990-05-24,1127.49
1990-05-25,1073.81
1990-05-29,1100.65
1990-05-30,1110.71
1990-05-31,1107.36
1990-06-01,1093.94
1990-06-04,1093.94
1990-06-05,1060.39
1990-06-06,1060.39
1990-06-07,1046.97
1990-06-08,1026.84
1990-06-11,1046.97
1990-06-12,1087.23
1990-06-13,1067.1
1990-06-14,1067.1
1990-06-15,1060.39
1990-06-18,1053.68
1990-06-19,1063.75
1990-06-20,1073.81
1990-06-21,1124.13
1990-06-22,1114.07
1990-06-25,1107.36
1990-06-26,1090.58
1990-06-27,1114.07
1990-06-28,1154.33
1990-06-29,1201.3
1990-07-02,1181.17
1990-07-03,1181.17
1990-07-05,1167.75
1990-07-06,1201.3
1990-07-09,1251.62
1990-07-10,1261.68
1990-07-11,1261.68
1990-07-12,1271.75
1990-07-13,1254.97
1990-07-16,1224.78
1990-07-17,1187.88
1990-07-18,1197.94
1990-07-19,1120.78
1990-07-20,1100.65
1990-07-23,1114.07
1990-07-24,1130.84
1990-07-25,1134.2
1990-07-26,1110.71
1990-07-27,1110.71
1990-07-30,1137.55
1990-07-31,1127.49
1990-08-01,1137.55
1990-08-02,1167.75
1990-08-03,1107.36
1990-08-06,1060.39
1990-08-07,1060.39
1990-08-08,1077.16
1990-08-09,1060.39
1990-08-10,1040.26
1990-08-13,1070.45
1990-08-14,1067.1
1990-08-15,1053.68
1990-08-16,1033.55
1990-08-17,979.87
1990-08-20,986.58
1990-08-21,973.16
1990-08-22,942.97
1990-08-23,926.19
1990-08-24,953.03
1990-08-27,1013.42
1990-08-28,1023.49
1990-08-29,1000.0
1990-08-30,973.16
1990-08-31,993.29
1990-09-04,993.29
1990-09-05,966.45
1990-09-06,959.74
1990-09-07,976.52
1990-09-10,959.74
1990-09-11,912.77
1990-09-12,912.77
1990-09-13,906.06
1990-09-14,912.77
1990-09-17,906.06
1990-09-18,896.0
1990-09-19,872.52
1990-09-20,849.03
1990-09-21,845.67
1990-09-24,812.12
1990-09-25,805.42
1990-09-26,798.71
1990-09-27,758.45
1990-09-28,778.58
1990-10-01,818.83
1990-10-02,795.35
1990-10-03,724.9
1990-10-04,751.74
1990-10-05,751.74
1990-10-08,781.93
1990-10-09,751.74
1990-10-10,711.48
1990-10-11,745.03
1990-10-12,758.45
1990-10-15,745.03
1990-10-16,671.22
1990-10-17,711.48
1990-10-18,765.16
1990-10-19,842.32
1990-10-22,835.61
1990-10-23,832.26
1990-10-24,818.83
1990-10-25,805.42
1990-10-26,805.42
1990-10-29,802.06
1990-10-30,815.48
1990-10-31,825.55
1990-11-01,818.83
1990-11-02,852.38
1990-11-05,892.64
1990-11-06,899.35
1990-11-07,892.64
1990-11-08,926.19
1990-11-09,953.03
1990-11-12,973.16
1990-11-13,966.45
1990-11-14,993.29
1990-11-15,966.45
1990-11-16,942.97
1990-11-19,976.52
1990-11-20,953.03
1990-11-21,969.81
1990-11-23,976.52
1990-11-26,986.58
1990-11-27,1006.71
1990-11-28,986.58
1990-11-29,986.58
1990-11-30,986.58
1990-12-03,1023.49
1990-12-04,1033.55
1990-12-05,1077.16
1990-12-06,1107.36
1990-12-07,1140.91
