index,symbol,entry_amount,entry_date,entry_price,quantity,exit_date,exit_price,pl,exit_amount
0,AAPL,999.76,1990-01-02,0.33,3006,1990-12-31,0.38,154.33,1154.09
1,AAPL,1154.3,1991-01-02,0.39,2972,1991-12-31,0.5,341.65,1495.95
2,AAPL,1495.47,1992-01-02,0.53,2815,1992-12-31,0.53,6.28,1501.75
3,AAPL,1502.02,1993-01-04,0.52,2888,1993-12-31,0.26,-747.78,754.23
4,AAPL,754.34,1994-01-03,0.27,2828,1994-12-30,0.35,230.41,984.75
5,AAPL,984.73,1995-01-03,0.34,2874,1995-12-29,0.28,-166.8,817.93
6,AAPL,818.04,1996-01-02,0.29,2852,1996-12-31,0.19,-286.47,531.57
7,AAPL,531.56,1997-01-02,0.19,2835,1997-12-31,0.12,-199.33,332.23
8,AAPL,332.25,1998-01-02,0.15,2290,1998-12-31,0.37,504.77,837.02
9,AAPL,836.79,1999-01-04,0.37,2272,1999-12-31,0.92,1248.84,2085.63
10,AAPL,2085.84,2000-01-03,1.0,2087,2000-12-29,0.27,-1531.48,554.36
11,AAPL,554.36,2001-01-02,0.27,2087,2001-12-31,0.39,261.81,816.17
12,AAPL,815.92,2002-01-02,0.42,1961,2002-12-31,0.26,-314.11,501.81
13,AAPL,501.88,2003-01-02,0.26,1899,2003-12-31,0.38,222.79,724.67
14,AAPL,724.66,2004-01-02,0.38,1907,2004-12-31,1.15,1468.39,2193.05
15,AAPL,2192.55,2005-01-03,1.13,1940,2005-12-30,2.57,2788.4,4980.95
16,AAPL,4981.55,2006-01-03,2.67,1866,2006-12-29,3.03,672.43,5653.98
17,AAPL,5653.51,2007-01-03,2.99,1889,2007-12-31,7.07,7709.82,13363.33
18,AAPL,13360.46,2008-01-02,6.96,1920,2008-12-31,3.05,-7507.89,5852.57
19,AAPL,5853.37,2009-01-02,3.24,1806,2009-12-31,7.53,7738.71,13592.08
20,AAPL,13589.63,2010-01-04,7.64,1778,2010-12-31,11.52,6892.93,20482.56
21,AAPL,20480.42,2011-01-03,11.77,1740,2011-12-30,14.46,4687.44,25167.86
22,AAPL,25173.15,2012-01-03,14.69,1714,2012-12-31,19.01,7403.26,32576.41
23,AAPL,32569.24,2013-01-02,19.61,1661,2013-12-31,20.04,711.27,33280.51
24,AAPL,33286.57,2014-01-02,19.75,1685,2014-12-31,27.59,13211.0,46497.57
25,AAPL,46492.58,2015-01-02,27.33,1701,2015-12-31,26.32,-1730.77,44761.82
26,AAPL,44747.41,2016-01-04,26.34,1699,2016-12-30,28.95,4447.13,49194.54
27,AAPL,49189.53,2017-01-03,29.04,1694,2017-12-29,42.31,22479.38,71668.9
28,AAPL,71660.16,2018-01-02,43.06,1664,2018-12-31,39.44,-6040.32,65619.84
29,AAPL,65655.24,2019-01-02,39.48,1663,2019-12-31,73.41,56429.75,122084.98
30,AAPL,122017.19,2020-01-02,75.09,1625,2020-12-31,132.69,93604.06,215621.25
31,AAPL,215597.07,2021-01-04,129.41,1666,2021-12-31,177.57,80234.57,295831.63
32,AAPL,295766.24,2022-01-03,182.01,1625,2022-12-30,129.93,-84630.0,211136.24
33,AAPL,211243.23,2023-01-03,125.07,1689,2023-12-29,192.53,113939.94,325183.17
