date,balance
1990-01-02,1000.0
1990-01-03,1000.0
1990-01-04,1000.0
1990-01-05,1000.0
1990-01-08,1000.0
1990-01-09,1000.0
1990-01-10,1000.0
1990-01-11,1000.0
1990-01-12,1000.0
1990-01-15,1000.0
1990-01-16,1000.0
1990-01-17,1000.0
1990-01-18,1000.0
1990-01-19,1000.0
1990-01-22,1000.0
1990-01-23,1000.0
1990-01-24,1000.0
1990-01-25,1000.0
1990-01-26,1000.0
1990-01-29,1000.0
1990-01-30,1000.0
1990-01-31,1000.0
1990-02-01,1000.0
1990-02-02,1000.0
1990-02-05,1000.0
1990-02-06,1000.0
1990-02-07,1000.0
1990-02-08,1000.0
1990-02-09,1000.0
1990-02-12,1000.0
1990-02-13,1000.0
1990-02-14,1000.0
1990-02-15,1000.0
1990-02-16,1000.0
1990-02-20,1000.0
1990-02-21,1000.0
1990-02-22,1000.0
1990-02-23,1000.0
1990-02-26,1000.0
1990-02-27,1000.0
1990-02-28,1000.0
1990-03-01,1000.0
1990-03-02,1000.0
1990-03-05,1000.0
1990-03-06,1000.0
1990-03-07,1000.0
1990-03-08,1000.0
1990-03-09,1000.0
1990-03-12,1000.0
1990-03-13,1000.0
1990-03-14,1000.0
1990-03-15,1000.0
1990-03-16,1000.0
1990-03-19,1000.0
1990-03-20,1000.0
1990-03-21,1000.0
1990-03-22,1000.0
1990-03-23,1000.0
1990-03-26,1000.0
1990-03-27,1000.0
1990-03-28,1000.0
1990-03-29,1000.0
1990-03-30,1000.0
1990-04-02,1000.0
1990-04-03,1000.0
1990-04-04,1000.0
1990-04-05,1000.0
1990-04-06,1000.0
1990-04-09,1000.0
1990-04-10,1000.0
1990-04-11,1000.0
1990-04-12,1000.0
1990-04-16,1000.0
1990-04-17,1000.0
1990-04-18,1000.0
1990-04-19,1000.0
1990-04-20,1000.0
1990-04-23,1000.0
1990-04-24,1000.0
1990-04-25,1000.0
1990-04-26,1000.0
1990-04-27,1000.0
1990-04-30,1000.0
1990-05-01,1000.0
1990-05-02,1000.0
1990-05-03,1000.0
1990-05-04,1000.0
1990-05-07,1000.0
1990-05-08,1000.0
1990-05-09,1000.0
1990-05-10,1000.0
1990-05-11,1000.0
1990-05-14,1000.0
1990-05-15,1000.0
1990-05-16,1000.0
1990-05-17,1000.0
1990-05-18,1000.0
1990-05-21,1000.0
1990-05-22,1000.0
1990-05-23,1000.0
1990-05-24,1000.0
1990-05-25,1000.0
1990-05-29,1000.0
1990-05-30,1000.0
1990-05-31,1000.0
1990-06-01,1000.0
1990-06-04,1000.0
1990-06-05,1000.0
1990-06-06,1000.0
1990-06-07,1000.0
1990-06-08,1000.0
1990-06-11,1000.0
1990-06-12,1000.0
1990-06-13,1000.0
1990-06-14,1000.0
1990-06-15,1000.0
1990-06-18,1000.0
1990-06-19,1000.0
1990-06-20,1000.0
1990-06-21,1000.0
1990-06-22,1000.0
1990-06-25,1000.0
1990-06-26,1000.0
1990-06-27,1000.0
1990-06-28,1000.0
1990-06-29,1000.0
1990-07-02,1000.0
1990-07-03,1000.0
1990-07-05,1000.0
1990-07-06,1000.0
1990-07-09,1000.0
1990-07-10,1000.0
1990-07-11,1000.0
1990-07-12,1000.0
1990-07-13,1000.0
1990-07-16,1000.0
1990-07-17,1000.0
1990-07-18,1000.0
1990-07-19,1000.0
1990-07-20,1000.0
1990-07-23,1000.0
1990-07-24,1000.0
1990-07-25,1000.0
1990-07-26,1000.0
1990-07-27,1000.0
1990-07-30,1000.0
1990-07-31,1000.0
1990-08-01,1000.0
1990-08-02,1000.0
1990-08-03,1000.0
1990-08-06,1000.0
1990-08-07,1000.0
1990-08-08,1000.0
1990-08-09,1000.0
1990-08-10,1000.0
1990-08-13,1000.0
1990-08-14,1000.0
1990-08-15,1000.0
1990-08-16,1000.0
1990-08-17,1000.0
1990-08-20,1000.0
1990-08-21,1000.0
1990-08-22,1000.0
1990-08-23,982.21
1990-08-24,1010.67
1990-08-27,1074.72
1990-08-28,1085.39
1990-08-29,1060.49
1990-08-30,1032.02
1990-08-31,1053.37
1990-09-04,1053.37
1990-09-05,1024.91
1990-09-06,1017.79
1990-09-07,1035.58
1990-09-10,1017.79
1990-09-11,967.98
1990-09-12,967.98
1990-09-13,960.86
1990-09-14,967.98
1990-09-17,960.86
1990-09-18,950.19
1990-09-19,925.28
1990-09-20,900.38
1990-09-21,896.82
1990-09-24,861.24
1990-09-25,854.12
1990-09-26,847.0
1990-09-27,804.31
1990-09-28,825.66
1990-10-01,868.35
1990-10-02,843.45
1990-10-03,768.73
1990-10-04,797.19
1990-10-05,797.19
1990-10-08,829.22
1990-10-09,797.19
1990-10-10,754.5
1990-10-11,790.08
1990-10-12,804.31
1990-10-15,790.08
1990-10-16,711.8
1990-10-17,754.5
1990-10-18,811.42
1990-10-19,893.26
1990-10-22,886.14
1990-10-23,882.59
1990-10-24,868.35
1990-10-25,854.12
1990-10-26,854.12
1990-10-29,850.56
1990-10-30,864.79
1990-10-31,875.47
1990-11-01,868.35
1990-11-02,903.93
1990-11-05,946.63
1990-11-06,953.75
1990-11-07,946.63
1990-11-08,982.21
1990-11-09,1010.67
1990-11-12,1032.02
1990-11-13,1032.02
1990-11-14,1032.02
1990-11-15,1032.02
1990-11-16,1032.02
1990-11-19,1032.02
1990-11-20,1032.02
1990-11-21,1032.02
1990-11-23,1032.02
1990-11-26,1032.02
1990-11-27,1032.02
1990-11-28,1032.02
1990-11-29,1032.02
1990-11-30,1032.02
1990-12-03,1032.02
1990-12-04,1032.02
1990-12-05,1032.02
1990-12-06,1032.02
1990-12-07,1032.02
1990-12-10,1032.02
1990-12-11,1032.02
1990-12-12,1032.02
1990-12-13,1032.02
1990-12-14,1032.02
1990-12-17,1032.02
1990-12-18,1032.02
1990-12-19,1032.02
1990-12-20,1032.02
1990-12-21,1032.02
1990-12-24,1032.02
1990-12-26,1032.02
1990-12-27,1032.02
1990-12-28,1032.02
1990-12-31,1032.02
1991-01-02,1032.02
1991-01-03,1032.02
1991-01-04,1032.02
1991-01-07,1032.02
1991-01-08,1032.02
1991-01-09,1032.02
1991-01-10,1032.02
1991-01-11,1032.02
1991-01-14,1032.02
1991-01-15,1032.02
1991-01-16,1032.02
1991-01-17,1032.02
1991-01-18,1032.02
1991-01-21,1032.02
1991-01-22,1032.02
1991-01-23,1032.02
1991-01-24,1032.02
1991-01-25,1032.02
1991-01-28,1032.02
1991-01-29,1032.02
1991-01-30,1032.02
1991-01-31,1032.02
1991-02-01,1032.02
1991-02-04,1032.02
1991-02-05,1032.02
1991-02-06,1032.02
1991-02-07,1032.02
1991-02-08,1032.02
1991-02-11,1032.02
1991-02-12,1032.02
1991-02-13,1032.02
1991-02-14,1032.02
1991-02-15,1032.02
1991-02-19,1032.02
1991-02-20,1032.02
1991-02-21,1032.02
1991-02-22,1032.02
1991-02-25,1032.02
1991-02-26,1032.02
1991-02-27,1032.02
1991-02-28,1032.02
1991-03-01,1032.02
1991-03-04,1032.02
1991-03-05,1032.02
1991-03-06,1032.02
1991-03-07,1032.02
1991-03-08,1032.02
1991-03-11,1032.02
1991-03-12,1032.02
1991-03-13,1032.02
1991-03-14,1032.02
1991-03-15,1032.02
1991-03-18,1032.02
1991-03-19,1032.02
1991-03-20,1032.02
1991-03-21,1032.02
1991-03-22,1032.02
1991-03-25,1032.02
1991-03-26,1032.02
1991-03-27,1032.02
1991-03-28,1032.02
1991-04-01,1032.02
1991-04-02,1032.02
1991-04-03,1032.02
1991-04-04,1032.02
1991-04-05,1032.02
1991-04-08,1032.02
1991-04-09,1032.02
1991-04-10,1032.02
1991-04-11,1032.02
1991-04-12,1032.02
1991-04-15,1032.02
1991-04-16,1032.02
1991-04-17,1032.02
1991-04-18,1032.02
1991-04-19,1032.02
1991-04-22,1032.02
1991-04-23,1032.02
1991-04-24,1032.02
1991-04-25,1032.02
1991-04-26,1032.02
1991-04-29,1032.02
1991-04-30,1032.02
1991-05-01,1032.02
1991-05-02,1070.24
1991-05-03,1070.24
1991-05-06,1097.54
1991-05-07,1105.73
1991-05-08,1086.62
1991-05-09,1108.46
1991-05-10,1119.38
1991-05-13,1152.14
1991-05-14,1168.52
1991-05-15,1103.0
1991-05-16,1070.24
1991-05-17,1026.56
1991-05-20,966.5
1991-05-21,988.35
1991-05-22,1010.18
1991-05-23,985.62
1991-05-24,1001.99
1991-05-28,1004.72
1991-05-29,1026.56
1991-05-30,1040.21
1991-05-31,1026.56
1991-06-03,1075.7
1991-06-04,1072.97
1991-06-05,1048.4
1991-06-06,1018.37
1991-06-07,1007.45
1991-06-10,1004.72
1991-06-11,974.7
1991-06-12,925.56
1991-06-13,920.1
1991-06-14,898.26
1991-06-17,917.37
1991-06-18,920.1
1991-06-19,911.91
1991-06-20,917.37
1991-06-21,917.37
1991-06-24,911.91
1991-06-25,925.56
1991-06-26,939.21
1991-06-27,928.29
1991-06-28,906.45
1991-07-01,928.29
1991-07-02,922.83
1991-07-03,941.94
1991-07-05,996.53
1991-07-08,1021.1
1991-07-09,1023.83
1991-07-10,1032.02
1991-07-11,1021.1
1991-07-12,1021.1
1991-07-15,993.8
1991-07-16,955.59
1991-07-17,928.29
1991-07-18,980.16
1991-07-19,1004.72
1991-07-22,1004.72
1991-07-23,982.89
1991-07-24,982.89
1991-07-25,988.35
1991-07-26,980.16
1991-07-29,993.8
1991-07-30,1015.65
1991-07-31,1010.18
1991-08-01,1072.97
1991-08-02,1092.08
1991-08-05,1059.32
1991-08-06,1081.16
1991-08-07,1100.27
1991-08-08,1103.0
1991-08-09,1108.46
1991-08-12,1130.3
1991-08-13,1168.52
1991-08-14,1168.52
1991-08-15,1168.52
1991-08-16,1168.52
1991-08-19,1168.52
1991-08-20,1168.52
1991-08-21,1168.52
1991-08-22,1168.52
1991-08-23,1168.52
1991-08-26,1168.52
1991-08-27,1168.52
1991-08-28,1168.52
1991-08-29,1168.52
1991-08-30,1168.52
1991-09-03,1168.52
1991-09-04,1168.52
1991-09-05,1168.52
1991-09-06,1168.52
1991-09-09,1168.52
1991-09-10,1168.52
1991-09-11,1168.52
1991-09-12,1168.52
1991-09-13,1168.52
1991-09-16,1168.52
1991-09-17,1168.52
1991-09-18,1168.52
1991-09-19,1168.52
1991-09-20,1168.52
1991-09-23,1168.52
1991-09-24,1168.52
1991-09-25,1168.52
1991-09-26,1168.52
1991-09-27,1168.52
1991-09-30,1168.52
1991-10-01,1168.52
1991-10-02,1168.52
1991-10-03,1168.52
1991-10-04,1168.52
1991-10-07,1168.52
1991-10-08,1168.52
1991-10-09,1168.52
1991-10-10,1168.52
1991-10-11,1168.52
1991-10-14,1168.52
1991-10-15,1168.52
1991-10-16,1168.52
1991-10-17,1168.52
1991-10-18,1168.52
1991-10-21,1168.52
1991-10-22,1168.52
1991-10-23,1168.52
1991-10-24,1168.52
1991-10-25,1168.52
1991-10-28,1168.52
1991-10-29,1168.52
1991-10-30,1168.52
1991-10-31,1168.52
1991-11-01,1168.52
1991-11-04,1168.52
1991-11-05,1168.52
1991-11-06,1168.52
1991-11-07,1168.52
1991-11-08,1168.52
1991-11-11,1168.52
1991-11-12,1168.52
1991-11-13,1168.52
1991-11-14,1168.52
1991-11-15,1168.52
1991-11-18,1168.52
1991-11-19,1168.52
1991-11-20,1168.52
1991-11-21,1168.52
1991-11-22,1168.52
1991-11-25,1168.52
1991-11-26,1168.52
1991-11-27,1168.52
1991-11-29,1168.52
1991-12-02,1168.52
1991-12-03,1168.52
1991-12-04,1168.52
1991-12-05,1168.52
1991-12-06,1168.52
1991-12-09,1168.52
1991-12-10,1168.52
1991-12-11,1168.52
1991-12-12,1168.52
1991-12-13,1168.52
1991-12-16,1168.52
1991-12-17,1168.52
1991-12-18,1168.52
1991-12-19,1168.52
1991-12-20,1168.52
1991-12-23,1168.52
1991-12-24,1168.52
1991-12-26,1168.52
1991-12-27,1168.52
1991-12-30,1168.52
1991-12-31,1168.52
1992-01-02,1168.52
1992-01-03,1168.52
1992-01-06,1168.52
1992-01-07,1168.52
1992-01-08,1168.52
1992-01-09,1168.52
1992-01-10,1168.52
1992-01-13,1168.52
1992-01-14,1168.52
1992-01-15,1168.52
1992-01-16,1168.52
1992-01-17,1168.52
1992-01-20,1168.52
1992-01-21,1168.52
1992-01-22,1168.52
1992-01-23,1168.52
1992-01-24,1168.52
1992-01-27,1168.52
1992-01-28,1168.52
1992-01-29,1168.52
1992-01-30,1168.52
1992-01-31,1168.52
1992-02-03,1168.52
1992-02-04,1168.52
1992-02-05,1168.52
1992-02-06,1168.52
1992-02-07,1168.52
1992-02-10,1168.52
1992-02-11,1168.52
1992-02-12,1168.52
1992-02-13,1168.52
1992-02-14,1168.52
1992-02-18,1168.52
1992-02-19,1168.52
1992-02-20,1168.52
1992-02-21,1168.52
1992-02-24,1168.52
1992-02-25,1168.52
1992-02-26,1168.52
1992-02-27,1168.52
1992-02-28,1168.52
1992-03-02,1168.52
1992-03-03,1168.52
1992-03-04,1168.52
1992-03-05,1168.52
1992-03-06,1168.52
1992-03-09,1168.52
1992-03-10,1168.52
1992-03-11,1168.52
1992-03-12,1168.52
1992-03-13,1168.52
1992-03-16,1168.52
1992-03-17,1168.52
1992-03-18,1168.52
1992-03-19,1168.52
1992-03-20,1168.52
1992-03-23,1168.52
1992-03-24,1168.52
1992-03-25,1168.52
1992-03-26,1168.52
1992-03-27,1168.52
1992-03-30,1168.52
1992-03-31,1168.52
1992-04-01,1168.52
1992-04-02,1168.52
1992-04-03,1168.52
1992-04-06,1168.52
1992-04-07,1168.52
1992-04-08,1168.52
1992-04-09,1168.52
1992-04-10,1168.52
1992-04-13,1168.52
1992-04-14,1168.52
1992-04-15,1168.52
1992-04-16,1168.52
1992-04-20,1168.52
1992-04-21,1168.52
1992-04-22,1168.52
1992-04-23,1168.52
1992-04-24,1168.52
1992-04-27,1168.52
1992-04-28,1168.52
1992-04-29,1168.52
1992-04-30,1168.52
1992-05-01,1168.52
1992-05-04,1168.52
1992-05-05,1168.52
1992-05-06,1168.52
1992-05-07,1168.52
1992-05-08,1168.52
1992-05-11,1168.52
1992-05-12,1168.52
1992-05-13,1168.52
1992-05-14,1168.52
1992-05-15,1168.52
1992-05-18,1168.52
1992-05-19,1168.52
1992-05-20,1168.52
1992-05-21,1168.52
1992-05-22,1168.52
1992-05-26,1168.52
1992-05-27,1168.52
1992-05-28,1168.52
1992-05-29,1168.52
1992-06-01,1168.52
1992-06-02,1168.52
1992-06-03,1168.52
1992-06-04,1168.52
1992-06-05,1168.52
1992-06-08,1168.52
1992-06-09,1168.52
1992-06-10,1168.52
1992-06-11,1168.52
1992-06-12,1168.52
1992-06-15,1168.52
1992-06-16,1168.52
1992-06-17,1127.0
1992-06-18,1073.63
1992-06-19,1061.77
1992-06-22,1049.9
1992-06-23,1073.63
1992-06-24,1091.42
1992-06-25,1082.52
1992-06-26,1073.63
1992-06-29,1109.21
1992-06-30,1138.87
1992-07-01,1162.59
1992-07-02,1097.35
1992-07-06,1097.35
1992-07-07,1049.9
1992-07-08,1085.49
1992-07-09,1088.45
