date,balance
1990-01-02,1000.0
1990-01-03,1008.78
1990-01-04,1020.08
1990-01-05,1017.57
1990-01-08,1023.84
1990-01-09,1013.8
1990-01-10,1010.04
1990-01-11,1018.82
1990-01-12,998.75
1990-01-15,1001.25
1990-01-16,1021.33
1990-01-17,1008.78
1990-01-18,1015.06
1990-01-19,1006.27
1990-01-22,986.2
1990-01-23,987.45
1990-01-24,994.98
1990-01-25,978.67
1990-01-26,988.71
1990-01-29,992.47
1990-01-30,992.47
1990-01-31,1006.27
1990-02-01,997.49
1990-02-02,1003.76
1990-02-05,1016.31
1990-02-06,1030.11
1990-02-07,1051.45
1990-02-08,1047.68
1990-02-09,1045.17
1990-02-12,1031.37
1990-02-13,1052.7
1990-02-14,1057.72
1990-02-15,1057.72
1990-02-16,1055.21
1990-02-20,1048.94
1990-02-21,1069.01
1990-02-22,1052.7
1990-02-23,1046.43
1990-02-26,1060.23
1990-02-27,1057.72
1990-02-28,1058.97
1990-03-01,1060.23
1990-03-02,1069.01
1990-03-05,1070.27
1990-03-06,1077.8
1990-03-07,1075.29
1990-03-08,1090.34
1990-03-09,1085.33
1990-03-12,1097.87
1990-03-13,1082.82
1990-03-14,1082.82
1990-03-15,1090.34
1990-03-16,1106.66
1990-03-19,1110.42
1990-03-20,1100.38
1990-03-21,1092.85
1990-03-22,1085.33
1990-03-23,1070.27
1990-03-26,1061.48
1990-03-27,1065.25
1990-03-28,1079.05
1990-03-29,1080.31
1990-03-30,1081.56
1990-04-02,1079.05
1990-04-03,1086.58
1990-04-04,1085.33
1990-04-05,1081.56
1990-04-06,1079.05
1990-04-09,1075.29
1990-04-10,1079.05
1990-04-11,1084.07
1990-04-12,1091.6
1990-04-16,1129.24
1990-04-17,1131.75
1990-04-18,1119.2
1990-04-19,1111.68
1990-04-20,1114.19
1990-04-23,1114.19
1990-04-24,1109.17
1990-04-25,1114.19
1990-04-26,1107.91
1990-04-27,1094.11
1990-04-30,1110.42
1990-05-01,1100.38
1990-05-02,1111.68
1990-05-03,1112.93
1990-05-04,1125.48
1990-05-07,1125.48
1990-05-08,1127.99
1990-05-09,1133.01
1990-05-10,1144.3
1990-05-11,1160.61
1990-05-14,1163.12
1990-05-15,1176.92
1990-05-16,1174.41
1990-05-17,1181.94
1990-05-18,1174.41
1990-05-21,1190.73
1990-05-22,1198.26
1990-05-23,1208.29
1990-05-24,1208.29
1990-05-25,1183.2
1990-05-29,1218.33
1990-05-30,1229.62
1990-05-31,1220.84
1990-06-01,1215.82
1990-06-04,1224.61
1990-06-05,1228.37
1990-06-06,1227.12
1990-06-07,1227.12
1990-06-08,1208.29
1990-06-11,1219.59
1990-06-12,1223.35
1990-06-13,1234.64
1990-06-14,1229.62
1990-06-15,1224.61
1990-06-18,1207.04
1990-06-19,1208.29
1990-06-20,1200.76
1990-06-21,1212.06
1990-06-22,1183.2
1990-06-25,1186.96
1990-06-26,1188.22
1990-06-27,1200.76
1990-06-28,1197.0
1990-06-29,1195.75
1990-07-02,1205.78
1990-07-03,1197.0
1990-07-05,1194.49
1990-07-06,1200.76
1990-07-09,1210.8
1990-07-10,1198.26
1990-07-11,1212.06
1990-07-12,1220.84
1990-07-13,1230.88
1990-07-16,1244.68
1990-07-17,1228.37
1990-07-18,1219.59
1990-07-19,1220.84
1990-07-20,1197.0
1990-07-23,1179.43
1990-07-24,1168.14
1990-07-25,1168.14
1990-07-26,1151.83
1990-07-27,1134.26
1990-07-30,1141.79
1990-07-31,1135.52
1990-08-01,1136.77
1990-08-02,1117.95
1990-08-03,1101.64
1990-08-06,1058.97
1990-08-07,1050.19
1990-08-08,1051.45
1990-08-09,1052.7
1990-08-10,1040.15
1990-08-13,1057.72
1990-08-14,1063.99
1990-08-15,1070.27
