index,symbol,entry_amount,entry_date,entry_price,quantity,exit_date,exit_price,pl,exit_amount
0,IBM,983.75,1990-01-02,23.42,42,1990-12-31,27.01,150.57,1134.32
1,IBM,1125.54,1991-01-02,26.8,42,1991-12-31,21.27,-232.13,893.4
2,IBM,905.95,1992-01-02,21.57,42,1992-12-31,12.04,-400.27,505.68
3,IBM,515.15,1993-01-04,11.98,43,1993-12-31,13.5,65.52,580.66
4,IBM,578.45,1994-01-03,13.77,42,1994-12-30,17.57,159.36,737.81
5,IBM,740.32,1995-01-03,17.63,42,1995-12-29,21.84,176.92,917.24
6,IBM,912.23,1996-01-02,21.72,42,1996-12-31,36.21,608.57,1520.79
7,IBM,1501.73,1997-01-02,36.63,41,1997-12-31,50.01,548.76,2050.49
8,IBM,2070.09,1998-01-02,50.49,41,1998-12-31,88.13,1543.38,3613.47
9,IBM,3586.52,1999-01-04,87.48,41,1999-12-31,103.13,641.85,4228.37
10,IBM,4214.15,2000-01-03,110.9,38,2000-12-29,81.26,-1126.2,3087.95
11,IBM,3081.14,2001-01-02,81.08,38,2001-12-31,115.64,1313.2,4394.34
12,IBM,4413.96,2002-01-02,116.16,38,2002-12-31,74.09,-1598.47,2815.49
13,IBM,2849.99,2003-01-02,77.03,37,2003-12-31,88.6,428.37,3278.36
14,IBM,3238.38,2004-01-02,87.52,37,2004-12-31,94.24,248.67,3487.06
15,IBM,3457.7,2005-01-03,93.45,37,2005-12-30,78.59,-550.05,2907.65
16,IBM,2902.7,2006-01-03,78.45,37,2006-12-29,92.88,533.78,3436.47
17,IBM,3440.72,2007-01-03,92.99,37,2007-12-31,103.35,383.09,3823.8
18,IBM,3803.27,2008-01-02,100.09,38,2008-12-31,80.46,-745.83,3057.44
19,IBM,3090.53,2009-01-02,83.53,37,2009-12-31,125.14,1539.78,4630.31
20,IBM,4685.13,2010-01-04,126.63,37,2010-12-31,140.31,506.19,5191.32
21,IBM,5075.79,2011-01-03,140.99,36,2011-12-30,175.79,1252.77,6328.57
22,IBM,6411.85,2012-01-03,178.11,36,2012-12-31,183.13,180.69,6592.54
23,IBM,6570.03,2013-01-02,187.72,35,2013-12-31,179.32,-293.79,6276.24
24,IBM,6207.98,2014-01-02,177.37,35,2014-12-31,153.38,-839.53,5368.45
25,IBM,5422.66,2015-01-02,154.93,35,2015-12-31,131.57,-817.78,4604.88
26,IBM,4549.0,2016-01-04,129.97,35,2016-12-30,158.69,1005.16,5554.16
27,IBM,5594.31,2017-01-03,159.84,35,2017-12-29,146.67,-460.76,5133.56
28,IBM,5161.33,2018-01-02,147.47,35,2018-12-31,108.67,-1357.84,3803.49
29,IBM,3855.02,2019-01-02,110.14,35,2019-12-31,128.15,630.07,4485.09
30,IBM,4401.8,2020-01-02,129.46,34,2020-12-31,120.34,-310.1,4091.7
31,IBM,4147.13,2021-01-04,118.49,35,2021-12-31,133.66,530.97,4678.1
32,IBM,4625.36,2022-01-03,136.04,34,2022-12-30,140.89,164.9,4790.26
33,IBM,4812.7,2023-01-03,141.55,34,2023-12-29,163.55,748.0,5560.7
