date,balance
1990-01-02,1000.0
1990-01-03,1000.0
1990-01-04,1000.0
1990-01-05,1000.0
1990-01-08,1000.0
1990-01-09,1000.0
1990-01-10,1000.0
1990-01-11,1000.0
1990-01-12,1000.0
1990-01-15,1000.0
1990-01-16,1000.0
1990-01-17,1000.0
1990-01-18,1000.0
1990-01-19,1000.0
1990-01-22,1000.0
1990-01-23,1000.0
1990-01-24,1000.0
1990-01-25,1000.0
1990-01-26,1000.0
1990-01-29,1000.0
1990-01-30,1000.0
1990-01-31,1000.0
1990-02-01,1000.0
1990-02-02,1000.0
1990-02-05,1000.0
1990-02-06,1000.0
1990-02-07,1000.0
1990-02-08,1000.0
1990-02-09,1000.0
1990-02-12,1000.0
1990-02-13,1000.0
1990-02-14,1000.0
1990-02-15,1000.0
1990-02-16,1000.0
1990-02-20,1000.0
1990-02-21,1000.0
1990-02-22,1000.0
1990-02-23,1000.0
1990-02-26,1000.0
1990-02-27,1000.0
1990-02-28,1000.0
1990-03-01,1000.0
1990-03-02,1000.0
1990-03-05,1000.0
1990-03-06,1000.0
1990-03-07,1000.0
1990-03-08,1000.0
1990-03-09,1000.0
1990-03-12,1000.0
1990-03-13,1000.0
1990-03-14,1000.0
1990-03-15,1000.0
1990-03-16,1000.0
1990-03-19,1000.0
1990-03-20,1000.0
1990-03-21,1000.0
1990-03-22,1000.0
1990-03-23,1000.0
1990-03-26,1000.0
1990-03-27,1000.0
1990-03-28,1000.0
1990-03-29,1000.0
1990-03-30,1000.0
1990-04-02,1000.0
1990-04-03,1000.0
1990-04-04,1000.0
1990-04-05,1000.0
1990-04-06,1000.0
1990-04-09,1000.0
1990-04-10,1000.0
1990-04-11,1000.0
1990-04-12,1000.0
1990-04-16,1000.0
1990-04-17,1000.0
1990-04-18,1000.0
1990-04-19,1000.0
1990-04-20,1000.0
1990-04-23,1000.0
1990-04-24,1000.0
1990-04-25,1000.0
1990-04-26,1000.0
1990-04-27,1000.0
1990-04-30,1000.0
1990-05-01,1000.0
1990-05-02,1000.0
1990-05-03,1000.0
1990-05-04,1000.0
1990-05-07,1000.0
1990-05-08,1000.0
1990-05-09,1000.0
1990-05-10,1000.0
1990-05-11,1000.0
1990-05-14,1000.0
1990-05-15,1000.0
1990-05-16,1000.0
1990-05-17,1000.0
1990-05-18,1000.0
1990-05-21,1000.0
1990-05-22,1000.0
1990-05-23,1000.0
1990-05-24,1000.0
1990-05-25,1000.0
1990-05-29,1000.0
1990-05-30,1000.0
1990-05-31,1000.0
1990-06-01,1000.0
1990-06-04,1000.0
1990-06-05,1000.0
1990-06-06,1000.0
1990-06-07,1000.0
1990-06-08,1000.0
1990-06-11,1000.0
1990-06-12,1000.0
1990-06-13,1000.0
1990-06-14,1000.0
1990-06-15,1000.0
1990-06-18,1000.0
1990-06-19,1000.0
1990-06-20,1000.0
1990-06-21,1000.0
1990-06-22,1000.0
1990-06-25,1000.0
1990-06-26,1000.0
1990-06-27,1000.0
1990-06-28,1000.0
1990-06-29,1000.0
1990-07-02,1000.0
1990-07-03,1000.0
1990-07-05,1000.0
1990-07-06,1000.0
1990-07-09,1000.0
1990-07-10,1000.0
1990-07-11,1000.0
1990-07-12,1000.0
1990-07-13,1000.0
1990-07-16,1000.0
1990-07-17,1000.0
1990-07-18,1000.0
1990-07-19,1000.0
1990-07-20,1000.0
1990-07-23,1000.0
1990-07-24,1000.0
1990-07-25,1000.0
1990-07-26,1000.0
1990-07-27,1000.0
1990-07-30,1006.63
1990-07-31,1001.11
1990-08-01,1002.21
1990-08-02,985.63
1990-08-03,971.26
1990-08-06,933.68
1990-08-07,925.94
1990-08-08,927.04
1990-08-09,928.15
1990-08-10,917.09
1990-08-13,932.57
1990-08-14,938.1
1990-08-15,943.62
1990-08-16,932.57
1990-08-17,911.57
1990-08-20,919.31
1990-08-21,903.83
1990-08-22,890.57
1990-08-23,871.77
1990-08-24,902.72
1990-08-27,938.1
1990-08-28,931.47
1990-08-29,933.68
1990-08-30,914.88
1990-08-31,915.99
1990-09-04,921.52
1990-09-05,921.52
1990-09-06,920.41
1990-09-07,948.05
1990-09-10,951.36
1990-09-11,965.73
1990-09-12,969.05
1990-09-13,943.62
1990-09-14,938.1
1990-09-17,944.73
1990-09-18,963.52
1990-09-19,973.47
1990-09-20,969.05
1990-09-21,959.1
1990-09-24,943.62
1990-09-25,955.78
1990-09-26,946.94
1990-09-27,938.1
1990-09-28,955.78
1990-10-01,979.0
1990-10-02,972.36
1990-10-03,964.63
1990-10-04,969.05
1990-10-05,972.36
1990-10-08,983.42
1990-10-09,946.94
1990-10-10,930.36
1990-10-11,908.25
1990-10-12,901.62
1990-10-15,892.78
1990-10-16,893.88
1990-10-17,906.04
1990-10-18,946.94
1990-10-19,966.84
1990-10-22,967.94
1990-10-23,959.1
1990-10-24,975.68
1990-10-25,971.26
1990-10-26,960.21
1990-10-29,952.47
1990-10-30,955.78
1990-10-31,948.05
1990-11-01,963.52
1990-11-02,973.47
1990-11-05,969.05
1990-11-06,969.05
1990-11-07,956.89
1990-11-08,965.73
1990-11-09,990.05
1990-11-12,1014.37
1990-11-13,1005.53
1990-11-14,1018.79
1990-11-15,1011.05
1990-11-16,1019.9
1990-11-19,1029.85
1990-11-20,1017.69
1990-11-21,1024.32
1990-11-23,1011.05
1990-11-26,1022.11
1990-11-27,1018.79
1990-11-28,1008.84
1990-11-29,1005.53
1990-11-30,1019.9
1990-12-03,1017.69
1990-12-04,1029.85
1990-12-05,1028.74
1990-12-06,1001.11
1990-12-07,1009.95
1990-12-10,1017.69
1990-12-11,1013.26
1990-12-12,1026.53
1990-12-13,1013.26
1990-12-14,998.89
1990-12-17,1001.11
1990-12-18,1018.79
1990-12-19,1012.16
1990-12-20,1021.0
1990-12-21,1022.11
1990-12-24,1022.11
1990-12-26,1018.79
1990-12-27,1019.9
1990-12-28,1017.69
1990-12-31,1014.37
1991-01-02,1006.63
1991-01-03,1009.95
1991-01-04,1006.63
1991-01-07,990.05
1991-01-08,979.0
1991-01-09,960.21
1991-01-10,973.47
1991-01-11,971.26
1991-01-14,959.1
1991-01-15,965.73
1991-01-16,980.1
1991-01-17,1038.69
1991-01-18,1055.27
1991-01-21,1072.96
1991-01-22,1058.59
1991-01-23,1069.64
1991-01-24,1085.12
1991-01-25,1099.49
1991-01-28,1099.49
1991-01-29,1099.49
1991-01-30,1099.49
1991-01-31,1099.49
1991-02-01,1099.49
1991-02-04,1099.49
1991-02-05,1099.49
1991-02-06,1099.49
1991-02-07,1099.49
1991-02-08,1099.49
1991-02-11,1099.49
1991-02-12,1099.49
1991-02-13,1099.49
1991-02-14,1099.49
1991-02-15,1099.49
1991-02-19,1099.49
1991-02-20,1099.49
1991-02-21,1099.49
1991-02-22,1099.49
1991-02-25,1099.49
1991-02-26,1099.49
1991-02-27,1099.49
1991-02-28,1099.49
1991-03-01,1099.49
1991-03-04,1099.49
1991-03-05,1099.49
1991-03-06,1099.49
1991-03-07,1099.49
1991-03-08,1099.49
1991-03-11,1099.49
1991-03-12,1099.49
1991-03-13,1099.49
1991-03-14,1099.49
1991-03-15,1099.49
1991-03-18,1099.49
1991-03-19,1099.49
1991-03-20,1090.16
1991-03-21,1069.19
1991-03-22,1066.86
1991-03-25,1084.34
1991-03-26,1087.83
1991-03-27,1078.51
1991-03-28,1087.83
1991-04-01,1072.69
1991-04-02,1082.01
1991-04-03,1080.84
1991-04-04,1084.34
1991-04-05,1076.18
1991-04-08,1079.68
1991-04-09,1063.37
1991-04-10,1063.37
1991-04-11,1057.54
1991-04-12,1037.73
1991-04-15,1022.59
1991-04-16,1044.72
1991-04-17,1050.55
1991-04-18,1049.38
1991-04-19,1047.05
1991-04-22,1037.73
1991-04-23,1036.57
1991-04-24,1035.4
1991-04-25,1033.07
1991-04-26,1027.25
1991-04-29,1003.94
1991-04-30,986.47
1991-05-01,995.79
1991-05-02,1013.26
1991-05-03,992.29
1991-05-06,989.96
1991-05-07,975.98
1991-05-08,993.46
1991-05-09,1013.26
1991-05-10,989.96
1991-05-13,1013.26
1991-05-14,1014.43
1991-05-15,984.14
1991-05-16,996.95
1991-05-17,993.46
1991-05-20,988.8
1991-05-21,972.48
1991-05-22,1001.61
1991-05-23,1001.61
1991-05-24,1005.11
1991-05-28,1006.27
1991-05-29,996.95
1991-05-30,999.28
1991-05-31,1015.6
1991-06-03,1017.93
1991-06-04,1005.11
1991-06-05,988.8
1991-06-06,986.47
1991-06-07,977.15
1991-06-10,980.64
1991-06-11,979.48
1991-06-12,972.48
1991-06-13,964.33
1991-06-14,962.0
1991-06-17,953.84
1991-06-18,966.66
1991-06-19,967.82
1991-06-20,950.35
1991-06-21,955.01
1991-06-24,943.36
1991-06-25,952.68
1991-06-26,945.69
1991-06-27,936.36
1991-06-28,931.7
1991-07-01,943.36
1991-07-02,950.35
1991-07-03,941.03
1991-07-05,945.69
1991-07-08,963.16
1991-07-09,953.84
1991-07-10,946.85
1991-07-11,942.19
1991-07-12,952.68
1991-07-15,951.51
1991-07-16,927.04
1991-07-17,923.55
1991-07-18,942.19
1991-07-19,963.16
1991-07-22,977.15
1991-07-23,964.33
1991-07-24,965.49
1991-07-25,963.16
1991-07-26,963.16
1991-07-29,971.32
1991-07-30,973.65
1991-07-31,970.15
1991-08-01,970.15
1991-08-02,962.0
1991-08-05,967.82
1991-08-06,962.0
1991-08-07,949.18
1991-08-08,951.51
1991-08-09,948.02
1991-08-12,945.69
1991-08-13,949.18
1991-08-14,944.52
1991-08-15,943.36
1991-08-16,925.88
1991-08-19,911.9
1991-08-20,918.89
1991-08-21,917.72
1991-08-22,906.07
1991-08-23,910.73
1991-08-26,913.06
1991-08-27,914.23
1991-08-28,907.24
1991-08-29,916.56
1991-08-30,929.37
1991-09-03,939.86
1991-09-04,945.69
1991-09-05,942.19
1991-09-06,952.68
1991-09-09,967.82
1991-09-10,955.01
1991-09-11,971.32
1991-09-12,995.79
1991-09-13,985.3
1991-09-16,992.29
1991-09-17,1003.94
1991-09-18,1008.6
1991-09-19,1008.6
1991-09-20,1008.6
1991-09-23,1008.6
1991-09-24,1008.6
1991-09-25,1008.6
1991-09-26,1008.6
1991-09-27,1008.6
1991-09-30,1008.6
1991-10-01,1008.6
1991-10-02,1008.6
1991-10-03,1008.6
1991-10-04,1008.6
1991-10-07,1008.6
1991-10-08,1008.6
1991-10-09,1008.6
1991-10-10,1008.6
1991-10-11,1008.6
1991-10-14,1008.6
1991-10-15,1008.6
1991-10-16,1008.6
1991-10-17,1008.6
1991-10-18,1008.6
1991-10-21,1008.6
1991-10-22,1008.6
1991-10-23,1008.6
1991-10-24,1008.6
1991-10-25,1008.6
1991-10-28,1008.6
1991-10-29,1008.6
1991-10-30,1008.6
1991-10-31,1008.6
1991-11-01,1008.6
1991-11-04,1008.6
1991-11-05,1008.6
1991-11-06,1008.6
1991-11-07,1008.6
1991-11-08,1008.6
1991-11-11,1008.6
1991-11-12,1008.6
1991-11-13,1008.6
1991-11-14,1008.6
1991-11-15,1008.6
1991-11-18,1008.6
1991-11-19,1008.6
1991-11-20,1008.6
1991-11-21,1008.6
1991-11-22,1008.6
1991-11-25,1008.6
1991-11-26,1008.6
1991-11-27,1008.6
1991-11-29,1008.6
1991-12-02,1008.6
1991-12-03,1008.6
1991-12-04,1008.6
1991-12-05,1008.6
1991-12-06,1008.6
1991-12-09,965.08
1991-12-10,977.71
1991-12-11,994.56
1991-12-12,1004.39
1991-12-13,997.37
1991-12-16,984.73
1991-12-17,969.29
1991-12-18,977.71
1991-12-19,962.27
1991-12-20,972.1
1991-12-23,1000.18
1991-12-24,1000.18
1991-12-26,1000.18
1991-12-27,1012.82
1991-12-30,1024.05
1991-12-31,1008.6
1992-01-02,1022.65
1992-01-03,1024.05
1992-01-06,1045.11
1992-01-07,1071.79
1992-01-08,1046.52
1992-01-09,1033.88
1992-01-10,1029.67
1992-01-13,1022.65
1992-01-14,1046.52
1992-01-15,1080.22
1992-01-16,1081.62
1992-01-17,1091.45
1992-01-20,1078.81
1992-01-21,1052.13
1992-01-22,1083.02
1992-01-23,1059.15
1992-01-24,1054.94
1992-01-27,1061.96
1992-01-28,1056.35
1992-01-29,1040.9
1992-01-30,1039.5
1992-01-31,1019.84
1992-02-03,1035.28
1992-02-04,1045.11
1992-02-05,1033.88
1992-02-06,1018.43
1992-02-07,1011.41
1992-02-10,1017.03
1992-02-11,1022.65
1992-02-12,1043.71
1992-02-13,1028.26
1992-02-14,1017.03
1992-02-18,1015.62
1992-02-19,1015.62
1992-02-20,1017.03
1992-02-21,1018.43
1992-02-24,1012.82
1992-02-25,1000.18
1992-02-26,1000.18
1992-02-27,994.56
1992-02-28,984.73
1992-03-02,991.75
1992-03-03,1000.18
1992-03-04,990.35
1992-03-05,981.93
1992-03-06,979.12
1992-03-09,990.35
1992-03-10,995.97
1992-03-11,994.56
1992-03-12,1010.01
1992-03-13,1015.62
1992-03-16,1005.8
1992-03-17,993.16
1992-03-18,991.75
1992-03-19,973.5
1992-03-20,976.31
1992-03-23,970.69
1992-03-24,966.48
1992-03-25,965.08
1992-03-26,953.84
1992-03-27,944.01
1992-03-30,945.42
1992-03-31,946.82
1992-04-01,939.8
1992-04-02,932.78
1992-04-03,927.16
1992-04-06,942.61
1992-04-07,934.18
1992-04-08,962.27
1992-04-09,965.08
1992-04-10,974.9
1992-04-13,991.75
1992-04-14,1000.18
1992-04-15,1002.99
1992-04-16,1004.39
1992-04-20,1014.22
1992-04-21,1019.84
1992-04-22,1021.24
1992-04-23,1011.41
1992-04-24,998.77
1992-04-27,998.77
1992-04-28,1002.99
1992-04-29,998.77
1992-04-30,1028.26
1992-05-01,1026.86
1992-05-04,1047.92
1992-05-05,1047.92
1992-05-06,1047.92
1992-05-07,1047.92
1992-05-08,1047.92
1992-05-11,1047.92
1992-05-12,1047.92
1992-05-13,1047.92
1992-05-14,1047.92
1992-05-15,1047.92
1992-05-18,1047.92
1992-05-19,1047.92
1992-05-20,1047.92
1992-05-21,1047.92
1992-05-22,1047.92
1992-05-26,1047.92
1992-05-27,1047.92
1992-05-28,1047.92
1992-05-29,1047.92
1992-06-01,1047.92
1992-06-02,1047.92
1992-06-03,1047.92
1992-06-04,1047.92
1992-06-05,1047.92
1992-06-08,1047.92
1992-06-09,1047.92
1992-06-10,1047.92
1992-06-11,1047.92
1992-06-12,1047.92
1992-06-15,1047.92
1992-06-16,1047.92
1992-06-17,1047.92
1992-06-18,1047.92
1992-06-19,1047.92
1992-06-22,1047.92
1992-06-23,1047.92
1992-06-24,1047.92
1992-06-25,1047.92
1992-06-26,1047.92
1992-06-29,1047.92
1992-06-30,1047.92
1992-07-01,1047.92
1992-07-02,1047.92
1992-07-06,1047.92
1992-07-07,1047.92
1992-07-08,1047.92
1992-07-09,1047.92
1992-07-10,1047.92
1992-07-13,1047.92
1992-07-14,1047.92
1992-07-15,1047.92
1992-07-16,1047.92
1992-07-17,1047.92
1992-07-20,1047.92
1992-07-21,1047.92
1992-07-22,1047.92
1992-07-23,1047.92
1992-07-24,1047.92
