index,symbol,entry_amount,entry_price,entry_date,quantity,exit_date,exit_price,pl,exit_amount
0,IBM,984.91,26.62,1990-07-27,37,1991-01-25,29.31,99.49,1084.4
1,IBM,1073.11,27.52,1991-03-19,39,1991-09-18,25.19,-90.88,982.22
2,IBM,999.76,21.27,1991-12-06,47,1992-05-04,22.11,39.32,1039.08
3,IBM,1041.17,20.82,1992-08-07,50,1993-11-02,12.16,-433.2,607.97
4,IBM,598.89,23.03,1995-09-11,26,1996-01-23,24.62,41.17,640.06
5,IBM,653.38,24.2,1996-06-06,27,1996-08-07,26.92,73.4,726.79
6,IBM,728.37,31.67,1997-03-21,23,1997-04-24,36.72,116.13,844.5
7,IBM,811.66,50.73,1998-06-19,16,1998-07-21,61.25,168.26,979.92
8,IBM,969.05,53.84,1998-08-31,18,1998-10-29,71.1,310.83,1279.88
9,IBM,1305.75,100.44,1999-10-13,13,1999-12-07,111.5,143.7,1449.45
10,IBM,1398.66,87.42,2000-10-24,16,2001-01-19,106.36,303.06,1701.72
11,IBM,1701.95,100.11,2001-07-09,17,2001-10-24,103.8,62.57,1764.52
12,IBM,1753.63,103.15,2002-01-23,17,2002-08-19,78.86,-412.97,1340.66
13,IBM,1405.51,61.11,2002-09-20,23,2002-11-04,78.87,408.55,1814.05
14,IBM,1779.35,88.97,2004-03-10,20,2004-11-04,88.32,-13.0,1766.35
15,IBM,1755.07,87.75,2005-01-24,20,2005-07-13,77.87,-197.71,1557.36
16,IBM,1546.49,73.64,2006-06-08,21,2006-08-29,77.82,87.73,1634.23
17,IBM,1616.9,89.83,2007-02-27,18,2007-04-25,97.0,129.06,1745.97
18,IBM,1825.98,101.44,2007-11-08,18,2008-04-18,118.93,314.74,2140.73
19,IBM,2088.91,109.94,2008-09-04,19,2009-07-17,110.34,7.63,2096.54
20,IBM,2101.15,116.73,2010-05-07,18,2010-09-29,129.52,230.25,2331.4
21,IBM,2349.94,180.76,2012-06-01,13,2012-09-13,197.28,214.76,2564.7
22,IBM,2587.99,184.86,2012-10-19,14,2013-01-23,195.72,152.05,2740.04
23,IBM,2724.67,181.64,2013-04-19,15,2015-04-28,166.27,-230.59,2494.07
24,IBM,2419.17,142.3,2015-08-21,17,2016-03-15,136.67,-95.73,2323.44
25,IBM,2283.1,163.08,2017-04-11,14,2017-10-18,152.51,-147.9,2135.2
26,IBM,2255.67,132.69,2018-06-25,17,2019-01-23,127.05,-95.89,2159.78
27,IBM,2135.89,125.64,2019-05-13,17,2019-07-18,143.05,295.96,2431.85
28,IBM,2428.04,127.79,2019-08-12,19,2020-01-22,137.56,185.64,2613.68
29,IBM,2545.12,127.26,2020-02-27,20,2020-06-08,129.78,50.48,2595.6
30,IBM,2642.45,105.7,2020-10-27,25,2021-03-26,130.38,617.11,3259.56
31,IBM,3312.53,122.69,2021-10-21,27,2021-12-22,129.75,190.72,3503.25
32,IBM,3469.76,123.92,2022-02-22,28,2022-04-20,138.32,403.2,3872.96
33,IBM,3920.73,118.81,2022-09-30,33,2022-10-28,138.51,650.1,4570.83
34,IBM,4525.5,129.3,2023-02-28,35,2023-06-07,134.38,177.8,4703.3
