date,balance
1990-01-02,1000.0
1990-01-03,1005.63
1990-01-04,1035.2
1990-01-05,1009.86
1990-01-08,1025.34
1990-01-09,1022.53
1990-01-10,994.37
1990-01-11,974.66
1990-01-12,970.43
1990-01-15,970.43
1990-01-16,1000.0
1990-01-17,985.92
1990-01-18,1070.4
1990-01-19,1060.54
1990-01-22,1022.53
1990-01-23,1011.26
1990-01-24,1022.53
1990-01-25,1022.53
1990-01-26,1022.53
1990-01-29,1030.98
1990-01-30,1028.16
1990-01-31,1042.24
1990-02-01,1056.32
1990-02-02,1056.32
1990-02-05,1061.95
1990-02-06,1059.14
1990-02-07,1050.69
1990-02-08,1061.95
1990-02-09,1064.77
1990-02-12,1067.58
1990-02-13,1067.58
1990-02-14,1070.4
1990-02-15,1092.93
1990-02-16,1104.19
1990-02-20,1129.54
1990-02-21,1083.07
1990-02-22,1085.89
1990-02-23,1098.56
1990-02-26,1118.27
1990-02-27,1104.19
1990-02-28,1112.64
1990-03-01,1126.72
1990-03-02,1168.96
1990-03-05,1185.86
1990-03-06,1177.41
1990-03-07,1157.7
1990-03-08,1197.12
1990-03-09,1199.93
1990-03-12,1219.65
1990-03-13,1197.12
1990-03-14,1215.42
1990-03-15,1250.62
1990-03-16,1284.41
1990-03-19,1312.57
1990-03-20,1273.15
1990-03-21,1275.97
1990-03-22,1253.44
1990-03-23,1242.17
1990-03-26,1256.25
1990-03-27,1267.52
1990-03-28,1250.62
1990-03-29,1244.99
1990-03-30,1247.81
1990-04-02,1256.25
1990-04-03,1306.94
1990-04-04,1318.21
1990-04-05,1290.05
1990-04-06,1287.23
1990-04-09,1290.05
1990-04-10,1329.47
1990-04-11,1363.26
1990-04-12,1360.45
1990-04-16,1368.89
1990-04-17,1397.05
1990-04-18,1366.08
1990-04-19,1340.73
1990-04-20,1335.1
1990-04-23,1329.47
1990-04-24,1306.94
1990-04-25,1306.94
1990-04-26,1292.86
1990-04-27,1267.52
1990-04-30,1306.94
1990-05-01,1287.23
1990-05-02,1312.57
1990-05-03,1329.47
1990-05-04,1391.42
1990-05-07,1442.11
1990-05-08,1413.95
1990-05-09,1413.95
1990-05-10,1453.37
1990-05-11,1475.9
1990-05-14,1481.53
1990-05-15,1459.0
1990-05-16,1459.0
1990-05-17,1459.0
1990-05-18,1537.85
1990-05-21,1582.91
1990-05-22,1611.07
1990-05-23,1709.62
1990-05-24,1723.71
1990-05-25,1673.02
1990-05-29,1695.55
1990-05-30,1701.18
1990-05-31,1644.86
1990-06-01,1692.73
1990-06-04,1723.71
1990-06-05,1653.31
1990-06-06,1644.86
1990-06-07,1622.33
1990-06-08,1656.12
1990-06-11,1687.1
1990-06-12,1709.62
1990-06-13,1723.71
1990-06-14,1701.18
1990-06-15,1712.44
1990-06-18,1687.1
1990-06-19,1689.91
1990-06-20,1749.05
1990-06-21,1734.97
1990-06-22,1706.81
1990-06-25,1678.65
1990-06-26,1684.28
1990-06-27,1718.07
1990-06-28,1723.71
1990-06-29,1712.44
1990-07-02,1661.76
1990-07-03,1622.33
1990-07-05,1627.96
1990-07-06,1650.49
1990-07-09,1673.02
1990-07-10,1661.76
1990-07-11,1701.18
1990-07-12,1746.23
1990-07-13,1765.95
1990-07-16,1785.66
1990-07-17,1751.87
1990-07-18,1712.44
1990-07-19,1729.34
1990-07-20,1650.49
1990-07-23,1622.33
1990-07-24,1566.01
1990-07-25,1611.07
1990-07-26,1549.12
1990-07-27,1554.75
1990-07-30,1532.22
1990-07-31,1498.43
1990-08-01,1504.06
1990-08-02,1487.16
1990-08-03,1425.21
1990-08-06,1363.26
1990-08-07,1380.16
1990-08-08,1430.84
1990-08-09,1467.45
1990-08-10,1453.37
1990-08-13,1464.64
1990-08-14,1447.74
1990-08-15,1447.74
1990-08-16,1391.42
1990-08-17,1357.63
1990-08-20,1250.62
1990-08-21,1222.46
1990-08-22,1211.2
1990-08-23,1166.14
1990-08-24,1290.05
1990-08-27,1368.89
1990-08-28,1416.76
1990-08-29,1363.26
1990-08-30,1352.0
1990-08-31,1385.79
1990-09-04,1402.68
1990-09-05,1329.47
1990-09-06,1295.68
1990-09-07,1301.31
1990-09-10,1256.25
1990-09-11,1250.62
1990-09-12,1292.86
1990-09-13,1295.68
1990-09-14,1346.37
1990-09-17,1368.89
1990-09-18,1391.42
1990-09-19,1397.05
1990-09-20,1346.37
1990-09-21,1363.26
1990-09-24,1318.21
1990-09-25,1360.45
1990-09-26,1357.63
1990-09-27,1335.1
1990-09-28,1419.58
1990-10-01,1512.51
1990-10-02,1484.35
1990-10-03,1481.53
1990-10-04,1444.92
1990-10-05,1459.0
1990-10-08,1487.16
1990-10-09,1419.58
1990-10-10,1340.73
1990-10-11,1306.94
1990-10-12,1284.41
1990-10-15,1273.15
1990-10-16,1230.91
1990-10-17,1273.15
1990-10-18,1377.34
1990-10-19,1397.05
1990-10-22,1442.11
1990-10-23,1447.74
1990-10-24,1473.08
1990-10-25,1459.0
1990-10-26,1428.03
1990-10-29,1408.32
1990-10-30,1439.29
1990-10-31,1436.48
1990-11-01,1430.84
1990-11-02,1464.64
1990-11-05,1478.72
1990-11-06,1447.74
1990-11-07,1436.48
1990-11-08,1430.84
1990-11-09,1459.0
1990-11-12,1551.93
1990-11-13,1546.3
1990-11-14,1566.01
1990-11-15,1529.4
1990-11-16,1532.22
1990-11-19,1566.01
1990-11-20,1537.85
1990-11-21,1549.12
1990-11-23,1549.12
1990-11-26,1582.91
1990-11-27,1619.51
1990-11-28,1585.72
1990-11-29,1605.43
1990-11-30,1627.96
1990-12-03,1664.57
1990-12-04,1678.65
1990-12-05,1695.55
1990-12-06,1684.28
1990-12-07,1673.02
1990-12-10,1667.39
1990-12-11,1625.15
1990-12-12,1633.59
1990-12-13,1639.23
1990-12-14,1658.94
1990-12-17,1667.39
1990-12-18,1695.55
1990-12-19,1687.1
1990-12-20,1701.18
1990-12-21,1706.81
1990-12-24,1695.55
1990-12-26,1689.91
1990-12-27,1684.28
1990-12-28,1689.91
1990-12-31,1695.55
1991-01-02,1695.55
1991-01-03,1706.89
1991-01-04,1721.06
1991-01-07,1698.38
1991-01-08,1667.2
1991-01-09,1678.54
1991-01-10,1774.93
1991-01-11,1769.26
1991-01-14,1740.91
1991-01-15,1777.76
1991-01-16,1865.65
1991-01-17,1905.34
1991-01-18,1933.69
1991-01-21,2030.09
1991-01-22,2015.91
1991-01-23,2018.74
1991-01-24,2052.76
1991-01-25,2030.09
1991-01-28,2092.46
1991-01-29,2098.13
1991-01-30,2183.18
1991-01-31,2225.7
1991-02-01,2262.56
1991-02-04,2248.39
1991-02-05,2296.58
1991-02-06,2398.64
1991-02-07,2336.27
1991-02-08,2358.95
1991-02-11,2364.62
1991-02-12,2341.94
1991-02-13,2392.97
1991-02-14,2285.24
1991-02-15,2341.94
1991-02-19,2324.93
1991-02-20,2330.6
1991-02-21,2268.23
1991-02-22,2319.26
1991-02-25,2336.27
1991-02-26,2307.92
1991-02-27,2387.3
1991-02-28,2353.28
1991-03-01,2398.64
1991-03-04,2426.99
1991-03-05,2529.06
1991-03-06,2432.66
1991-03-07,2358.95
1991-03-08,2324.93
1991-03-11,2251.22
1991-03-12,2171.84
1991-03-13,2279.57
1991-03-14,2222.87
1991-03-15,2191.68
1991-03-18,2251.22
1991-03-19,2245.55
1991-03-20,2245.55
1991-03-21,2149.16
1991-03-22,2126.48
1991-03-25,2228.54
1991-03-26,2384.47
1991-03-27,2444.01
1991-03-28,2407.15
1991-04-01,2421.32
1991-04-02,2546.07
1991-04-03,2580.09
1991-04-04,2580.09
1991-04-05,2495.04
1991-04-08,2526.22
1991-04-09,2500.71
1991-04-10,2438.34
1991-04-11,2517.72
1991-04-12,2432.66
1991-04-15,2580.09
1991-04-16,2546.07
1991-04-17,2529.06
1991-04-18,2495.04
1991-04-19,2432.66
1991-04-22,2316.43
1991-04-23,2305.09
1991-04-24,2336.27
1991-04-25,2285.24
1991-04-26,2285.24
1991-04-29,2217.2
1991-04-30,2245.55
1991-05-01,2285.24
1991-05-02,2279.57
1991-05-03,2296.58
1991-05-06,2330.6
1991-05-07,2296.58
1991-05-08,2336.27
1991-05-09,2398.64
1991-05-10,2330.6
1991-05-13,2339.11
1991-05-14,2296.58
1991-05-15,2222.87
1991-05-16,2254.05
1991-05-17,2251.22
1991-05-20,2248.39
1991-05-21,2313.59
1991-05-22,2421.32
1991-05-23,2483.7
1991-05-24,2495.04
1991-05-28,2512.05
1991-05-29,2500.71
1991-05-30,2500.71
1991-05-31,2489.37
1991-06-03,2540.4
1991-06-04,2563.08
1991-06-05,2540.4
1991-06-06,2520.55
1991-06-07,2500.71
1991-06-10,2506.38
1991-06-11,2509.21
1991-06-12,2520.55
1991-06-13,2517.72
1991-06-14,2574.42
1991-06-17,2574.42
1991-06-18,2529.06
1991-06-19,2344.78
1991-06-20,2285.24
1991-06-21,2319.26
1991-06-24,2225.7
1991-06-25,2239.88
1991-06-26,2285.24
1991-06-27,2313.59
1991-06-28,2317.84
1991-07-01,2428.41
1991-07-02,2317.84
1991-07-03,2177.51
1991-07-05,2100.96
1991-07-08,2279.57
1991-07-09,2309.34
1991-07-10,2220.03
1991-07-11,2254.05
1991-07-12,2313.59
1991-07-15,2377.38
1991-07-16,2296.58
1991-07-17,2305.09
1991-07-18,2279.57
1991-07-19,2305.09
1991-07-22,2296.58
1991-07-23,2262.56
1991-07-24,2228.54
1991-07-25,2245.55
1991-07-26,2415.65
1991-07-29,2390.14
1991-07-30,2475.19
1991-07-31,2500.71
1991-08-01,2492.2
1991-08-02,2492.2
1991-08-05,2458.18
1991-08-06,2534.73
1991-08-07,2585.76
1991-08-08,2687.82
1991-08-09,2747.36
1991-08-12,2823.9
1991-08-13,2806.89
1991-08-14,2806.89
1991-08-15,2772.87
1991-08-16,2781.38
1991-08-19,2730.35
1991-08-20,2738.85
1991-08-21,2857.93
1991-08-22,2857.93
1991-08-23,2900.45
1991-08-26,2900.45
1991-08-27,2883.44
1991-08-28,2913.21
1991-08-29,2917.46
1991-08-30,2900.45
1991-09-03,2828.16
