index,symbol,entry_amount,entry_date,entry_price,quantity,exit_date,exit_price,pl,exit_amount
0,MSFT,999.67,1990-01-02,0.62,1622,1990-12-31,1.05,695.55,1695.22
1,MSFT,1695.37,1991-01-02,1.04,1633,1991-12-31,2.32,2089.45,3784.82
2,MSFT,3783.38,1992-01-02,2.38,1593,1992-12-31,2.67,466.7,4250.07
3,MSFT,4250.93,1993-01-04,2.66,1598,1993-12-31,2.52,-224.72,4026.21
4,MSFT,4026.28,1994-01-03,2.5,1608,1994-12-30,3.82,2116.78,6143.06
5,MSFT,6142.89,1995-01-03,3.76,1633,1995-12-29,5.48,2813.1,8955.98
6,MSFT,8952.56,1996-01-02,5.61,1596,1996-12-31,10.33,7531.12,16483.69
7,MSFT,16478.05,1997-01-02,10.2,1615,1997-12-31,16.16,9614.3,26092.34
8,MSFT,26093.88,1998-01-02,16.39,1592,1998-12-31,34.67,29103.75,55197.62
9,MSFT,55201.5,1999-01-04,35.25,1566,1999-12-31,58.38,36213.75,91415.25
10,MSFT,91385.0,2000-01-03,58.28,1568,2000-12-29,21.69,-57379.0,34006.0
11,MSFT,34027.69,2001-01-02,21.69,1569,2001-12-31,33.12,17945.44,51973.12
12,MSFT,51956.0,2002-01-02,33.52,1550,2002-12-31,25.85,-11888.5,40067.5
13,MSFT,40075.12,2003-01-02,26.86,1492,2003-12-31,27.37,760.92,40836.04
14,MSFT,40845.6,2004-01-02,27.45,1488,2004-12-31,26.72,-1086.24,39759.36
15,MSFT,39762.38,2005-01-03,26.74,1487,2005-12-30,26.15,-877.33,38885.05
16,MSFT,38891.16,2006-01-03,26.84,1449,2006-12-29,29.86,4375.98,43267.14
17,MSFT,43267.14,2007-01-03,29.86,1449,2007-12-31,35.6,8317.26,51584.4
18,MSFT,51562.08,2008-01-02,35.22,1464,2008-12-31,19.44,-23101.92,28460.16
19,MSFT,28482.33,2009-01-02,20.33,1401,2009-12-31,30.48,14220.15,42702.48
20,MSFT,42680.05,2010-01-04,30.95,1379,2010-12-31,27.91,-4192.16,38487.89
21,MSFT,38500.48,2011-01-03,27.98,1376,2011-12-30,25.96,-2779.52,35720.96
22,MSFT,35711.18,2012-01-03,26.77,1334,2012-12-31,26.71,-80.04,35631.14
23,MSFT,35629.8,2013-01-02,27.62,1290,2013-12-31,37.41,12629.1,48258.9
24,MSFT,48270.84,2014-01-02,37.16,1299,2014-12-31,46.45,12067.71,60338.55
25,MSFT,60320.4,2015-01-02,46.76,1290,2015-12-31,55.48,11248.8,71569.2
26,MSFT,71568.8,2016-01-04,54.8,1306,2016-12-30,62.14,9586.04,81154.84
27,MSFT,81166.26,2017-01-03,62.58,1297,2017-12-29,85.54,29779.12,110945.38
28,MSFT,110961.45,2018-01-02,85.95,1291,2018-12-31,101.57,20165.42,131126.87
29,MSFT,131051.52,2019-01-02,101.12,1296,2019-12-31,157.7,73327.67,204379.2
30,MSFT,204308.63,2020-01-02,160.62,1272,2020-12-31,222.42,78609.6,282918.24
31,MSFT,282997.0,2021-01-04,217.69,1300,2021-12-31,336.32,154219.01,437216.01
32,MSFT,437183.5,2022-01-03,334.75,1306,2022-12-30,239.82,-123978.57,313204.93
33,MSFT,313131.06,2023-01-03,239.58,1307,2023-12-29,376.04,178353.23,491484.29
