index,symbol,entry_amount,entry_price,entry_date,quantity,exit_date,exit_price,pl,exit_amount
0,MSFT,999.7,0.88,1990-08-03,1138,1990-12-04,1.03,177.81,1177.51
1,MSFT,1176.47,2.09,1992-06-26,564,1992-09-09,2.44,200.48,1376.95
2,MSFT,1378.13,2.46,1993-07-19,560,1993-09-28,2.62,91.87,1470.0
3,MSFT,1465.78,6.91,1996-07-15,212,1996-09-17,8.37,308.06,1773.84
4,MSFT,1772.62,15.41,1997-12-23,115,1998-01-28,18.62,369.26,2141.88
5,MSFT,2112.56,37.06,2000-04-14,57,2000-06-21,40.34,187.03,2299.59
6,MSFT,2303.44,32.91,2000-09-14,70,2001-04-20,34.5,111.56,2415.0
7,MSFT,2440.35,28.05,2001-09-04,87,2001-11-13,33.95,513.3,2953.65
8,MSFT,2941.51,24.31,2002-05-06,121,2003-09-03,28.3,482.79,3424.3
9,MSFT,3424.95,25.37,2004-03-10,135,2004-04-23,27.54,292.95,3717.9
10,MSFT,3709.04,26.12,2005-01-14,142,2005-08-03,27.25,160.46,3869.5
11,MSFT,3874.48,25.49,2005-09-21,152,2005-11-04,26.66,177.84,4052.32
12,MSFT,4071.85,26.27,2005-12-29,155,2006-08-18,25.79,-74.4,3997.45
13,MSFT,3981.28,26.72,2007-03-13,149,2007-04-27,30.12,506.6,4487.88
14,MSFT,4498.31,30.19,2008-02-04,149,2008-04-24,31.8,239.89,4738.2
15,MSFT,4743.24,25.23,2008-07-09,188,2009-06-05,22.14,-580.92,4162.32
16,MSFT,4146.87,28.21,2010-05-07,147,2010-10-29,26.67,-226.38,3920.49
17,MSFT,3935.16,25.72,2011-03-07,153,2011-07-07,26.77,160.65,4095.81
18,MSFT,4097.8,29.27,2012-05-18,140,2013-04-09,29.61,47.6,4145.4
19,MSFT,4144.8,31.4,2013-07-19,132,2013-11-05,36.64,691.68,4836.48
20,MSFT,4819.23,41.19,2015-01-28,117,2015-04-24,47.87,781.56,5600.79
21,MSFT,5599.1,43.07,2015-08-21,130,2015-10-23,52.87,1274.0,6873.1
22,MSFT,6886.2,49.9,2016-04-28,138,2016-07-20,55.91,829.38,7715.58
23,MSFT,7718.66,94.13,2018-12-24,82,2019-03-15,115.91,1785.96,9504.62
24,MSFT,9231.68,288.49,2022-01-25,32,2023-03-17,279.43,-289.92,8941.76
