date,balance
1990-01-02,1000.0
1990-01-03,982.79
1990-01-04,961.76
1990-01-05,915.88
1990-01-08,931.17
1990-01-09,910.14
1990-01-10,885.29
1990-01-11,892.94
1990-01-12,866.17
1990-01-15,852.79
1990-01-16,870.0
1990-01-17,847.05
1990-01-18,862.35
1990-01-19,866.17
1990-01-22,841.32
1990-01-23,847.05
1990-01-24,852.79
1990-01-25,826.02
1990-01-26,818.38
1990-01-29,816.47
1990-01-30,808.82
1990-01-31,818.38
1990-02-01,831.76
1990-02-02,841.32
1990-02-05,852.79
1990-02-06,829.85
1990-02-07,835.58
1990-02-08,804.99
1990-02-09,820.29
1990-02-12,812.64
1990-02-13,820.29
1990-02-14,824.11
1990-02-15,843.23
1990-02-16,839.41
1990-02-20,820.29
1990-02-21,814.55
1990-02-22,814.55
1990-02-23,820.29
1990-02-26,829.85
1990-02-27,847.05
1990-02-28,847.05
1990-03-01,866.17
1990-03-02,885.29
1990-03-05,881.47
1990-03-06,891.03
1990-03-07,881.47
1990-03-08,892.94
1990-03-09,881.47
1990-03-12,879.56
1990-03-13,871.91
1990-03-14,858.53
1990-03-15,860.44
1990-03-16,864.26
1990-03-19,866.17
1990-03-20,856.61
1990-03-21,850.88
1990-03-22,845.14
1990-03-23,850.88
1990-03-26,845.14
1990-03-27,862.35
1990-03-28,871.91
1990-03-29,877.64
1990-03-30,873.82
1990-04-02,877.64
1990-04-03,894.85
1990-04-04,870.0
1990-04-05,879.56
1990-04-06,883.38
1990-04-09,891.03
1990-04-10,898.67
1990-04-11,898.67
1990-04-12,908.23
1990-04-16,910.14
1990-04-17,898.67
1990-04-18,879.56
1990-04-19,866.17
1990-04-20,850.88
1990-04-23,841.32
1990-04-24,835.58
1990-04-25,845.14
1990-04-26,837.5
1990-04-27,831.76
1990-04-30,845.14
1990-05-01,839.41
1990-05-02,839.41
1990-05-03,837.5
1990-05-04,837.5
1990-05-07,837.5
1990-05-08,854.7
1990-05-09,868.08
1990-05-10,860.44
1990-05-11,879.56
1990-05-14,892.94
1990-05-15,889.11
1990-05-16,883.38
1990-05-17,879.56
1990-05-18,879.56
1990-05-21,892.94
1990-05-22,879.56
1990-05-23,883.38
1990-05-24,875.73
1990-05-25,873.82
1990-05-29,887.2
1990-05-30,898.67
1990-05-31,902.5
1990-06-01,902.5
1990-06-04,900.59
1990-06-05,892.94
1990-06-06,891.03
1990-06-07,877.64
1990-06-08,873.82
1990-06-11,889.11
1990-06-12,889.11
1990-06-13,881.47
1990-06-14,858.53
1990-06-15,847.05
1990-06-18,845.14
1990-06-19,852.79
1990-06-20,852.79
1990-06-21,847.05
1990-06-22,831.76
1990-06-25,820.29
1990-06-26,818.38
1990-06-27,835.58
1990-06-28,843.23
1990-06-29,833.67
1990-07-02,835.58
1990-07-03,839.41
1990-07-05,822.2
1990-07-06,829.85
1990-07-09,824.11
1990-07-10,806.91
1990-07-11,803.08
1990-07-12,816.47
1990-07-13,826.02
1990-07-16,835.58
1990-07-17,827.94
1990-07-18,833.67
1990-07-19,833.67
1990-07-20,833.67
1990-07-23,826.02
1990-07-24,812.64
1990-07-25,806.91
1990-07-26,804.99
1990-07-27,806.91
1990-07-30,820.29
1990-07-31,841.32
1990-08-01,847.05
1990-08-02,835.58
1990-08-03,827.94
1990-08-06,808.82
1990-08-07,789.7
1990-08-08,816.47
1990-08-09,806.91
1990-08-10,789.7
1990-08-13,799.26
1990-08-14,797.35
1990-08-15,816.47
1990-08-16,806.91
1990-08-17,795.44
1990-08-20,803.08
1990-08-21,787.79
1990-08-22,764.85
1990-08-23,741.9
1990-08-24,736.17
1990-08-27,761.02
1990-08-28,745.73
1990-08-29,762.93
1990-08-30,757.2
1990-08-31,759.11
1990-09-04,759.11
1990-09-05,745.73
1990-09-06,736.17
1990-09-07,747.64
1990-09-10,743.82
1990-09-11,736.17
1990-09-12,738.08
1990-09-13,738.08
1990-09-14,743.82
1990-09-17,747.64
1990-09-18,755.29
1990-09-19,755.29
1990-09-20,747.64
1990-09-21,766.76
1990-09-24,766.76
1990-09-25,780.14
1990-09-26,783.96
1990-09-27,789.7
1990-09-28,810.73
1990-10-01,856.61
1990-10-02,858.53
1990-10-03,829.85
1990-10-04,827.94
1990-10-05,826.02
1990-10-08,837.5
1990-10-09,820.29
1990-10-10,801.17
1990-10-11,808.82
1990-10-12,831.76
1990-10-15,856.61
1990-10-16,839.41
1990-10-17,829.85
1990-10-18,826.02
1990-10-19,826.02
1990-10-22,820.29
1990-10-23,820.29
1990-10-24,827.94
1990-10-25,824.11
1990-10-26,816.47
1990-10-29,810.73
1990-10-30,820.29
1990-10-31,843.23
1990-11-01,848.97
1990-11-02,864.26
1990-11-05,870.0
1990-11-06,860.44
1990-11-07,850.88
1990-11-08,839.41
1990-11-09,829.85
1990-11-12,835.58
1990-11-13,816.47
1990-11-14,820.29
1990-11-15,820.29
1990-11-16,818.38
1990-11-19,812.64
1990-11-20,812.64
1990-11-21,818.38
1990-11-23,818.38
1990-11-26,810.73
1990-11-27,829.85
1990-11-28,839.41
1990-11-29,845.14
1990-11-30,852.79
1990-12-03,848.97
1990-12-04,858.53
1990-12-05,868.08
1990-12-06,870.0
1990-12-07,871.91
1990-12-10,864.26
1990-12-11,856.61
1990-12-12,870.0
1990-12-13,870.0
1990-12-14,870.0
1990-12-17,868.08
1990-12-18,881.47
1990-12-19,883.38
1990-12-20,873.82
1990-12-21,875.73
1990-12-24,871.91
1990-12-26,871.91
1990-12-27,864.26
1990-12-28,862.35
1990-12-31,866.17
1991-01-02,866.17
1991-01-03,856.5
1991-01-04,839.08
1991-01-07,825.53
1991-01-08,817.79
1991-01-09,811.98
1991-01-10,817.79
1991-01-11,815.85
1991-01-14,804.24
1991-01-15,808.11
1991-01-16,796.5
1991-01-17,829.4
1991-01-18,850.69
1991-01-21,858.43
1991-01-22,817.79
1991-01-23,781.01
1991-01-24,792.63
1991-01-25,794.56
1991-01-28,800.37
1991-01-29,802.3
1991-01-30,802.3
1991-01-31,811.98
1991-02-01,811.98
1991-02-04,815.85
1991-02-05,825.53
1991-02-06,848.75
1991-02-07,860.37
1991-02-08,868.11
1991-02-11,887.46
1991-02-12,868.11
1991-02-13,879.72
1991-02-14,870.04
1991-02-15,877.79
1991-02-19,871.98
1991-02-20,850.69
1991-02-21,850.69
1991-02-22,844.88
1991-02-25,839.08
1991-02-26,831.34
1991-02-27,839.08
1991-02-28,835.21
1991-03-01,841.01
1991-03-04,835.21
1991-03-05,846.82
1991-03-06,846.82
1991-03-07,841.01
1991-03-08,837.14
1991-03-11,837.14
1991-03-12,829.4
1991-03-13,835.21
1991-03-14,835.21
1991-03-15,844.88
1991-03-18,864.24
1991-03-19,848.75
1991-03-20,844.88
1991-03-21,842.95
1991-03-22,841.01
1991-03-25,850.69
1991-03-26,871.98
1991-03-27,862.3
1991-03-28,871.98
1991-04-01,852.62
1991-04-02,864.24
1991-04-03,868.11
1991-04-04,850.69
1991-04-05,829.4
1991-04-08,823.59
1991-04-09,817.79
1991-04-10,813.92
1991-04-11,819.72
1991-04-12,823.59
1991-04-15,829.4
1991-04-16,829.4
1991-04-17,839.08
1991-04-18,841.01
1991-04-19,839.08
1991-04-22,833.27
1991-04-23,831.34
1991-04-24,825.53
1991-04-25,823.59
1991-04-26,827.46
1991-04-29,817.79
1991-04-30,829.4
1991-05-01,831.34
1991-05-02,821.66
1991-05-03,825.53
1991-05-06,823.59
1991-05-07,817.79
1991-05-08,804.24
1991-05-09,790.69
1991-05-10,775.21
1991-05-13,781.01
1991-05-14,775.21
1991-05-15,769.4
1991-05-16,769.4
1991-05-17,779.08
1991-05-20,775.21
1991-05-21,784.88
1991-05-22,781.01
1991-05-23,777.14
1991-05-24,777.14
1991-05-28,775.21
1991-05-29,777.14
1991-05-30,798.43
1991-05-31,804.24
1991-06-03,784.88
1991-06-04,782.95
1991-06-05,777.14
1991-06-06,775.21
1991-06-07,773.27
1991-06-10,773.27
1991-06-11,788.76
1991-06-12,781.01
1991-06-13,788.76
1991-06-14,810.05
1991-06-17,798.43
1991-06-18,794.56
1991-06-19,784.88
1991-06-20,792.63
1991-06-21,794.56
1991-06-24,792.63
1991-06-25,798.43
1991-06-26,802.3
1991-06-27,821.66
1991-06-28,831.34
1991-07-01,850.69
1991-07-02,841.01
1991-07-03,823.59
