index,symbol,entry_amount,entry_date,entry_price,quantity,exit_date,exit_price,pl,exit_amount
0,T,990.32,1990-01-02,12.23,81,1990-12-31,10.57,-133.83,856.5
1,T,863.2,1991-01-02,10.53,82,1991-12-31,12.2,137.42,1000.61
2,T,996.06,1992-01-02,12.3,81,1992-12-31,13.97,135.74,1131.8
3,T,1130.29,1993-01-04,13.78,82,1993-12-31,15.67,154.83,1285.12
4,T,1285.12,1994-01-03,15.67,82,1994-12-30,15.25,-34.84,1250.28
5,T,1258.02,1995-01-03,15.34,82,1995-12-29,21.62,514.82,1772.85
6,T,1763.6,1996-01-02,22.04,80,1996-12-31,19.59,-196.37,1567.22
7,T,1570.01,1997-01-02,19.87,79,1997-12-31,27.66,615.32,2185.33
8,T,2179.07,1998-01-02,28.3,77,1998-12-31,40.5,939.6,3118.67
9,T,3100.26,1999-01-04,39.75,78,1999-12-31,36.82,-228.29,2871.98
10,T,2875.38,2000-01-03,35.5,81,2000-12-29,36.06,45.88,2921.26
11,T,2929.66,2001-01-02,38.05,77,2001-12-31,29.58,-651.65,2278.01
12,T,2290.33,2002-01-02,30.14,76,2002-12-31,20.48,-734.17,1556.16
13,T,1550.31,2003-01-02,21.84,71,2003-12-31,19.69,-152.3,1398.01
14,T,1401.77,2004-01-02,19.74,71,2004-12-31,19.46,-19.84,1381.93
15,T,1391.6,2005-01-03,19.33,72,2005-12-30,18.5,-59.82,1331.78
16,T,1325.08,2006-01-03,18.66,71,2006-12-29,27.0,592.02,1917.11
17,T,1900.6,2007-01-03,26.4,72,2007-12-31,31.39,359.46,2260.06
18,T,2260.57,2008-01-02,30.97,73,2008-12-31,21.53,-689.2,1571.37
19,T,1577.66,2009-01-02,22.22,71,2009-12-31,21.17,-74.54,1503.12
20,T,1511.03,2010-01-04,21.59,70,2010-12-31,22.19,42.3,1553.32
21,T,1546.25,2011-01-03,22.41,69,2011-12-30,22.84,29.71,1575.95
22,T,1583.25,2012-01-03,22.95,69,2012-12-31,25.46,173.54,1756.79
23,T,1744.71,2013-01-02,26.44,66,2013-12-31,26.56,7.98,1752.69
24,T,1768.62,2014-01-02,26.4,67,2014-12-31,25.37,-68.82,1699.8
25,T,1688.38,2015-01-02,25.58,66,2015-12-31,25.99,26.92,1715.3
26,T,1712.31,2016-01-04,25.94,66,2016-12-30,32.12,407.76,2120.08
27,T,2112.01,2017-01-03,32.49,65,2017-12-29,29.37,-203.25,1908.76
28,T,1921.18,2018-01-02,29.11,66,2018-12-31,21.56,-498.49,1422.69
29,T,1427.92,2019-01-02,22.31,64,2019-12-31,29.52,461.15,1889.06
30,T,1878.43,2020-01-02,29.35,64,2020-12-31,21.72,-488.22,1390.21
31,T,1400.85,2021-01-04,22.24,63,2021-12-31,18.58,-230.3,1170.54
32,T,1171.62,2022-01-03,19.21,61,2022-12-30,18.41,-48.61,1123.01
33,T,1124.4,2023-01-03,18.74,60,2023-12-29,16.78,-117.6,1006.8
