date,balance
1990-01-02,1000.0
1990-01-03,1000.0
1990-01-04,1000.0
1990-01-05,1000.0
1990-01-08,1000.0
1990-01-09,1000.0
1990-01-10,1000.0
1990-01-11,1000.0
1990-01-12,1000.0
1990-01-15,1000.0
1990-01-16,1000.0
1990-01-17,1000.0
1990-01-18,1000.0
1990-01-19,1000.0
1990-01-22,971.16
1990-01-23,977.81
1990-01-24,984.47
1990-01-25,953.41
1990-01-26,944.53
1990-01-29,942.31
1990-01-30,933.44
1990-01-31,944.53
1990-02-01,960.06
1990-02-02,971.16
1990-02-05,984.47
1990-02-06,957.85
1990-02-07,964.5
1990-02-08,929.0
1990-02-09,946.75
1990-02-12,937.88
1990-02-13,946.75
1990-02-14,951.19
1990-02-15,973.38
1990-02-16,968.94
1990-02-20,946.75
1990-02-21,940.1
1990-02-22,940.1
1990-02-23,946.75
1990-02-26,957.85
1990-02-27,977.81
1990-02-28,977.81
1990-03-01,1000.0
1990-03-02,1022.19
1990-03-05,1017.75
1990-03-06,1028.84
1990-03-07,1017.75
1990-03-08,1031.06
1990-03-09,1017.75
1990-03-12,1015.53
1990-03-13,1006.66
1990-03-14,991.13
1990-03-15,993.34
1990-03-16,997.78
1990-03-19,1000.0
1990-03-20,988.91
1990-03-21,982.25
1990-03-22,975.59
1990-03-23,982.25
1990-03-26,975.59
1990-03-27,995.56
1990-03-28,1006.66
1990-03-29,1013.31
1990-03-30,1008.87
1990-04-02,1013.31
1990-04-03,1033.28
1990-04-04,1004.44
1990-04-05,1015.53
1990-04-06,1019.97
1990-04-09,1028.84
1990-04-10,1037.72
1990-04-11,1037.72
1990-04-12,1048.81
1990-04-16,1051.03
1990-04-17,1037.72
1990-04-18,1015.53
1990-04-19,1000.0
1990-04-20,982.25
1990-04-23,971.16
1990-04-24,964.5
1990-04-25,975.59
1990-04-26,966.72
1990-04-27,960.06
1990-04-30,975.59
1990-05-01,968.94
1990-05-02,968.94
1990-05-03,966.72
1990-05-04,966.72
1990-05-07,966.72
1990-05-08,986.69
1990-05-09,1002.22
1990-05-10,993.34
1990-05-11,1015.53
1990-05-14,1031.06
1990-05-15,1026.62
1990-05-16,1019.97
1990-05-17,1015.53
1990-05-18,1015.53
1990-05-21,1031.06
1990-05-22,1015.53
1990-05-23,1019.97
1990-05-24,1011.09
1990-05-25,1008.87
1990-05-29,1024.41
1990-05-30,1037.72
1990-05-31,1042.15
1990-06-01,1042.15
1990-06-04,1039.94
1990-06-05,1031.06
1990-06-06,1028.84
1990-06-07,1013.31
1990-06-08,1008.87
1990-06-11,1026.62
1990-06-12,1026.62
1990-06-13,1017.75
1990-06-14,991.13
1990-06-15,977.81
1990-06-18,975.59
1990-06-19,984.47
1990-06-20,984.47
1990-06-21,977.81
1990-06-22,960.06
1990-06-25,946.75
1990-06-26,944.53
1990-06-27,964.5
1990-06-28,973.38
1990-06-29,962.28
1990-07-02,964.5
1990-07-03,968.94
1990-07-05,948.97
1990-07-06,957.85
1990-07-09,951.19
1990-07-10,931.22
1990-07-11,926.78
1990-07-12,942.31
1990-07-13,953.41
1990-07-16,964.5
1990-07-17,955.63
1990-07-18,962.28
1990-07-19,962.28
1990-07-20,962.28
1990-07-23,953.41
1990-07-24,937.88
1990-07-25,931.22
1990-07-26,929.0
1990-07-27,931.22
1990-07-30,946.75
1990-07-31,971.16
1990-08-01,977.81
1990-08-02,964.5
1990-08-03,955.63
1990-08-06,933.44
1990-08-07,911.25
1990-08-08,942.31
1990-08-09,931.22
1990-08-10,911.25
1990-08-13,922.35
1990-08-14,920.13
1990-08-15,942.31
1990-08-16,931.22
1990-08-17,917.91
1990-08-20,926.78
1990-08-21,909.04
1990-08-22,882.41
1990-08-23,855.79
1990-08-24,849.13
1990-08-27,877.97
1990-08-28,860.22
1990-08-29,880.19
1990-08-30,873.54
1990-08-31,875.76
1990-09-04,875.76
1990-09-05,860.22
1990-09-06,849.13
1990-09-07,862.44
1990-09-10,858.01
1990-09-11,849.13
1990-09-12,851.35
1990-09-13,851.35
1990-09-14,858.01
1990-09-17,862.44
1990-09-18,871.32
1990-09-19,871.32
1990-09-20,862.44
1990-09-21,884.63
1990-09-24,884.63
1990-09-25,900.16
1990-09-26,904.6
1990-09-27,911.25
1990-09-28,935.66
1990-10-01,988.91
1990-10-02,988.91
1990-10-03,988.91
1990-10-04,988.91
1990-10-05,988.91
1990-10-08,988.91
1990-10-09,988.91
1990-10-10,988.91
1990-10-11,988.91
1990-10-12,988.91
1990-10-15,988.91
1990-10-16,988.91
1990-10-17,988.91
1990-10-18,988.91
1990-10-19,988.91
1990-10-22,988.91
1990-10-23,988.91
1990-10-24,988.91
1990-10-25,988.91
1990-10-26,988.91
1990-10-29,988.91
1990-10-30,988.91
1990-10-31,988.91
1990-11-01,988.91
1990-11-02,988.91
1990-11-05,988.91
1990-11-06,988.91
1990-11-07,988.91
1990-11-08,988.91
1990-11-09,988.91
1990-11-12,988.91
1990-11-13,988.91
1990-11-14,988.91
1990-11-15,988.91
1990-11-16,988.91
1990-11-19,988.91
1990-11-20,988.91
1990-11-21,988.91
1990-11-23,988.91
1990-11-26,988.91
1990-11-27,988.91
1990-11-28,988.91
1990-11-29,988.91
1990-11-30,988.91
1990-12-03,988.91
1990-12-04,988.91
1990-12-05,988.91
1990-12-06,988.91
1990-12-07,988.91
1990-12-10,988.91
1990-12-11,988.91
1990-12-12,988.91
1990-12-13,988.91
1990-12-14,988.91
1990-12-17,988.91
1990-12-18,988.91
1990-12-19,988.91
1990-12-20,988.91
1990-12-21,988.91
1990-12-24,988.91
1990-12-26,988.91
1990-12-27,988.91
1990-12-28,988.91
1990-12-31,988.91
1991-01-02,988.91
1991-01-03,988.91
1991-01-04,988.91
1991-01-07,988.91
1991-01-08,988.91
1991-01-09,981.9
1991-01-10,988.91
1991-01-11,986.57
1991-01-14,972.55
1991-01-15,977.22
1991-01-16,963.2
1991-01-17,1002.93
1991-01-18,1028.63
1991-01-21,1037.98
1991-01-22,988.91
1991-01-23,944.51
1991-01-24,958.53
1991-01-25,960.87
1991-01-28,967.88
1991-01-29,970.21
1991-01-30,970.21
1991-01-31,981.9
1991-02-01,981.9
1991-02-04,986.57
1991-02-05,998.25
1991-02-06,1026.29
1991-02-07,1040.31
1991-02-08,1049.66
1991-02-11,1073.03
1991-02-12,1049.66
1991-02-13,1063.68
1991-02-14,1052.0
1991-02-15,1061.34
1991-02-19,1054.33
1991-02-20,1028.63
1991-02-21,1028.63
1991-02-22,1021.62
1991-02-25,1014.61
1991-02-26,1005.26
1991-02-27,1014.61
1991-02-28,1009.94
1991-03-01,1016.95
1991-03-04,1009.94
1991-03-05,1023.96
1991-03-06,1023.96
1991-03-07,1016.95
1991-03-08,1012.27
1991-03-11,1012.27
1991-03-12,1002.93
1991-03-13,1009.94
1991-03-14,1009.94
1991-03-15,1021.62
1991-03-18,1044.99
1991-03-19,1026.29
1991-03-20,1021.62
1991-03-21,1019.28
1991-03-22,1016.95
1991-03-25,1028.63
1991-03-26,1054.33
1991-03-27,1042.65
1991-03-28,1054.33
1991-04-01,1030.97
1991-04-02,1044.99
1991-04-03,1049.66
1991-04-04,1028.63
1991-04-05,1002.93
1991-04-08,995.92
1991-04-09,988.91
1991-04-10,984.23
1991-04-11,991.24
1991-04-12,995.92
1991-04-15,1002.93
1991-04-16,1002.93
1991-04-17,1014.61
1991-04-18,1016.95
1991-04-19,1014.61
1991-04-22,1007.6
1991-04-23,1005.26
1991-04-24,998.25
1991-04-25,995.92
1991-04-26,1000.59
1991-04-29,988.91
1991-04-30,1002.93
1991-05-01,1005.26
1991-05-02,993.58
1991-05-03,998.25
1991-05-06,995.92
1991-05-07,988.91
1991-05-08,972.55
1991-05-09,956.19
1991-05-10,937.5
1991-05-13,944.51
1991-05-14,937.5
1991-05-15,930.49
1991-05-16,930.49
1991-05-17,942.17
1991-05-20,937.5
1991-05-21,949.18
1991-05-22,944.51
1991-05-23,939.84
1991-05-24,939.84
1991-05-28,937.5
1991-05-29,939.84
1991-05-30,965.54
1991-05-31,972.55
1991-06-03,949.18
1991-06-04,946.85
1991-06-05,939.84
1991-06-06,937.5
1991-06-07,935.16
1991-06-10,935.16
1991-06-11,953.86
1991-06-12,944.51
1991-06-13,953.86
1991-06-14,979.56
1991-06-17,965.54
1991-06-18,960.87
1991-06-19,949.18
1991-06-20,958.53
1991-06-21,960.87
1991-06-24,958.53
1991-06-25,965.54
1991-06-26,970.21
1991-06-27,993.58
1991-06-28,1005.26
1991-07-01,1028.63
1991-07-02,1028.63
1991-07-03,1028.63
1991-07-05,1028.63
1991-07-08,1028.63
1991-07-09,1028.63
1991-07-10,1028.63
1991-07-11,1028.63
1991-07-12,1028.63
1991-07-15,1028.63
1991-07-16,1028.63
1991-07-17,1028.63
1991-07-18,1028.63
1991-07-19,1028.63
1991-07-22,1028.63
1991-07-23,1028.63
1991-07-24,1028.63
1991-07-25,1028.63
1991-07-26,1028.63
1991-07-29,1028.63
1991-07-30,1028.63
1991-07-31,1028.63
1991-08-01,1028.63
1991-08-02,1028.63
1991-08-05,1028.63
1991-08-06,1028.63
1991-08-07,1028.63
1991-08-08,1028.63
1991-08-09,1028.63
1991-08-12,1028.63
1991-08-13,1028.63
1991-08-14,1028.63
1991-08-15,1028.63
1991-08-16,1028.63
1991-08-19,1028.63
1991-08-20,1028.63
1991-08-21,1028.63
1991-08-22,1028.63
1991-08-23,1028.63
1991-08-26,1028.63
1991-08-27,1028.63
1991-08-28,1028.63
1991-08-29,1028.63
1991-08-30,1028.63
1991-09-03,1028.63
1991-09-04,1028.63
1991-09-05,1028.63
1991-09-06,1028.63
1991-09-09,1028.63
1991-09-10,1028.63
1991-09-11,1028.63
1991-09-12,1028.63
1991-09-13,1028.63
1991-09-16,1028.63
1991-09-17,1028.63
1991-09-18,1028.63
1991-09-19,1028.63
1991-09-20,1028.63
1991-09-23,1028.63
1991-09-24,1028.63
1991-09-25,1028.63
1991-09-26,1028.63
1991-09-27,1028.63
1991-09-30,1028.63
1991-10-01,1028.63
1991-10-02,1028.63
1991-10-03,1028.63
1991-10-04,1028.63
1991-10-07,1028.63
1991-10-08,1028.63
1991-10-09,1028.63
1991-10-10,1028.63
1991-10-11,1028.63
1991-10-14,1028.63
1991-10-15,1028.63
1991-10-16,1028.63
1991-10-17,1028.63
1991-10-18,1028.63
1991-10-21,1028.63
1991-10-22,1028.63
1991-10-23,1028.63
1991-10-24,1028.63
1991-10-25,1028.63
1991-10-28,1028.63
1991-10-29,1028.63
1991-10-30,1028.63
1991-10-31,1028.63
1991-11-01,1028.63
1991-11-04,1028.63
1991-11-05,1028.63
1991-11-06,1028.63
1991-11-07,1028.63
1991-11-08,1028.63
1991-11-11,1028.63
1991-11-12,1028.63
1991-11-13,1028.63
1991-11-14,1028.63
1991-11-15,1028.63
1991-11-18,1028.63
1991-11-19,1028.63
1991-11-20,1028.63
1991-11-21,1028.63
1991-11-22,1028.63
1991-11-25,1028.63
1991-11-26,1028.63
1991-11-27,1028.63
1991-11-29,1028.63
1991-12-02,1028.63
1991-12-03,1028.63
1991-12-04,1028.63
1991-12-05,1028.63
1991-12-06,1028.63
1991-12-09,1028.63
1991-12-10,1028.63
1991-12-11,1028.63
1991-12-12,1028.63
1991-12-13,1028.63
1991-12-16,1028.63
1991-12-17,1028.63
1991-12-18,1028.63
1991-12-19,1028.63
1991-12-20,1028.63
1991-12-23,1028.63
1991-12-24,1028.63
1991-12-26,1028.63
1991-12-27,1028.63
1991-12-30,1028.63
1991-12-31,1028.63
1992-01-02,1028.63
1992-01-03,1028.63
1992-01-06,1028.63
1992-01-07,1028.63
1992-01-08,1028.63
1992-01-09,1028.63
1992-01-10,1028.63
1992-01-13,1028.63
1992-01-14,1028.63
1992-01-15,1028.63
1992-01-16,1028.63
1992-01-17,1028.63
1992-01-20,1028.63
1992-01-21,1028.63
1992-01-22,1028.63
1992-01-23,1028.63
1992-01-24,1028.63
1992-01-27,1028.63
1992-01-28,1028.63
1992-01-29,1028.63
1992-01-30,1028.63
1992-01-31,1028.63
1992-02-03,1028.63
1992-02-04,1028.63
1992-02-05,1028.63
1992-02-06,1028.63
1992-02-07,1028.63
1992-02-10,1028.63
1992-02-11,1028.63
1992-02-12,1028.63
1992-02-13,1028.63
1992-02-14,1028.63
1992-02-18,1028.63
1992-02-19,1028.63
1992-02-20,1028.63
1992-02-21,1028.63
1992-02-24,1028.63
1992-02-25,1028.63
1992-02-26,1028.63
1992-02-27,1028.63
1992-02-28,1028.63
1992-03-02,1028.63
1992-03-03,1028.63
1992-03-04,1028.63
1992-03-05,1028.63
1992-03-06,1028.63
1992-03-09,1028.63
1992-03-10,1028.63
1992-03-11,1028.63
1992-03-12,1028.63
1992-03-13,1028.63
1992-03-16,1028.63
1992-03-17,1028.63
1992-03-18,1028.63
1992-03-19,1028.63
1992-03-20,1028.63
1992-03-23,1028.63
1992-03-24,1028.63
1992-03-25,1028.63
1992-03-26,1028.63
1992-03-27,1028.63
1992-03-30,1028.63
1992-03-31,1028.63
1992-04-01,1028.63
1992-04-02,1028.63
1992-04-03,1028.63
1992-04-06,1028.63
1992-04-07,1028.63
1992-04-08,1028.63
1992-04-09,1028.63
1992-04-10,1028.63
1992-04-13,1028.63
1992-04-14,1028.63
1992-04-15,1028.63
1992-04-16,1028.63
1992-04-20,1028.63
1992-04-21,1028.63
1992-04-22,1028.63
1992-04-23,1028.63
1992-04-24,1028.63
1992-04-27,1028.63
1992-04-28,1028.63
1992-04-29,1028.63
1992-04-30,1028.63
1992-05-01,1028.63
1992-05-04,1028.63
1992-05-05,1028.63
1992-05-06,1028.63
1992-05-07,1028.63
1992-05-08,1028.63
1992-05-11,1028.63
1992-05-12,1028.63
1992-05-13,1028.63
1992-05-14,1028.63
1992-05-15,1028.63
1992-05-18,1028.63
1992-05-19,1028.63
1992-05-20,1028.63
1992-05-21,1028.63
1992-05-22,1028.63
1992-05-26,1028.63
1992-05-27,1028.63
1992-05-28,1028.63
1992-05-29,1028.63
1992-06-01,1028.63
1992-06-02,1028.63
1992-06-03,1028.63
1992-06-04,1028.63
1992-06-05,1028.63
1992-06-08,1028.63
1992-06-09,1028.63
1992-06-10,1028.63
1992-06-11,1028.63
1992-06-12,1028.63
1992-06-15,1028.63
1992-06-16,1028.63
1992-06-17,1028.63
1992-06-18,1028.63
1992-06-19,1028.63
1992-06-22,1028.63
1992-06-23,1028.63
1992-06-24,1028.63
1992-06-25,1028.63
1992-06-26,1028.63
1992-06-29,1028.63
1992-06-30,1028.63
1992-07-01,1028.63
1992-07-02,1028.63
1992-07-06,1028.63
1992-07-07,1028.63
1992-07-08,1028.63
1992-07-09,1028.63
1992-07-10,1028.63
1992-07-13,1028.63
1992-07-14,1028.63
1992-07-15,1028.63
1992-07-16,1028.63
1992-07-17,1028.63
1992-07-20,1028.63
1992-07-21,1028.63
1992-07-22,1028.63
1992-07-23,1028.63
1992-07-24,1028.63
1992-07-27,1028.63
1992-07-28,1028.63
1992-07-29,1028.63
1992-07-30,1028.63
