index,symbol,entry_amount,entry_price,entry_date,quantity,exit_date,exit_price,pl,exit_amount
0,T,993.96,10.57,1990-01-19,94,1990-10-01,10.46,-11.09,982.86
1,T,983.74,9.94,1991-01-08,99,1991-07-01,10.34,39.72,1023.46
2,T,1027.66,14.68,1994-01-05,70,1994-04-21,16.71,142.09,1169.75
3,T,1154.08,18.03,1996-04-08,64,1996-11-21,19.35,84.59,1238.67
4,T,1234.23,36.3,1999-08-31,34,2000-09-29,37.67,46.54,1280.78
5,T,1297.91,33.28,2000-12-20,39,2003-01-06,23.56,-379.17,918.74
6,T,908.11,15.66,2003-02-21,58,2003-06-04,19.77,238.75,1146.86
7,T,1158.99,18.69,2004-10-26,62,2005-11-22,18.71,0.94,1159.92
8,T,1161.03,19.35,2006-04-12,60,2006-06-15,20.94,95.62,1256.65
9,T,1255.57,29.2,2007-11-07,43,2009-12-04,20.85,-359.2,896.37
10,T,896.03,19.48,2010-01-15,46,2010-03-22,19.94,21.19,917.22
11,T,911.25,18.23,2010-05-26,50,2010-07-28,19.79,78.17,989.43
12,T,994.49,22.1,2011-07-28,45,2012-01-04,22.98,39.77,1034.25
13,T,1022.61,26.91,2012-10-12,38,2013-03-05,27.64,27.84,1050.45
14,T,1045.69,26.81,2013-05-30,39,2014-03-21,25.91,-35.35,1010.35
15,T,1016.31,25.41,2014-10-16,40,2016-02-03,27.73,93.05,1109.37
16,T,1115.08,30.97,2016-08-19,36,2016-12-12,31.06,2.99,1118.07
17,T,1096.04,30.45,2017-04-11,36,2017-12-04,28.15,-82.66,1013.38
18,T,1022.13,26.21,2018-03-23,39,2019-06-28,25.31,-35.05,987.08
19,T,998.5,26.99,2020-02-27,37,2020-12-08,23.27,-137.49,861.0
20,T,857.13,20.41,2021-08-26,42,2022-01-05,19.8,-25.69,831.44
21,T,834.24,18.96,2022-06-16,44,2022-10-26,18.14,-36.08,798.16
22,T,794.25,17.65,2023-04-20,45,2023-11-30,16.57,-48.6,745.65
